;Region,Year,;Trigger,;Weak Layer,Depth_inches,;Aspect,Day,Elevation_feet,Vertical_inches,Month
Salt Lake,2012,Snowboarder,New Snow/Old Snow Interface,14.0,North,9,10400.0,360.0,11
Salt Lake,2012,Skier,New Snow/Old Snow Interface,30.0,North,11,9700.0,1200.0,11
Salt Lake,2012,Skier,Facets,36.0,North,11,10200.0,5400.0,11
Salt Lake,2012,Skier,New Snow,"18.0""",Southeast,11,10200.0,6000.0,11
Salt Lake,2012,Skier,Facets,42.0,North,11,10400.0,9600.0,11
Salt Lake,2012,Skier,New Snow/Old Snow Interface,24.0,North,10,10000.0,1800.0,11
Salt Lake,2012,Skier,Facets,30.0,Northeast,12,9900.0,4800.0,11
Salt Lake,2012,Skier,Facets,24.0,North,8,10300.0,7200.0,12
Salt Lake,2012,Skier,Facets,18.0,East,9,9400.0,2400.0,12
Salt Lake,2012,Skier,Facets,18.0,East,10,9500.0,4800.0,12
Salt Lake,2012,Skier,Facets,24.0,Northeast,11,9700.0,4800.0,12
Salt Lake,2012,Unknown,Ground Interface,36.0,North,13,10000.0,9600.0,12
Skyline,2012,Snowmobiler,Facets,12.0,North,12,9600.0,480.0,12
Salt Lake,2012,Explosive,Surface Hoar,48.0,Northeast,14,10300.0,10800.0,12
Salt Lake,2012,Unknown,Facets,30.0,North,14,10100.0,7200.0,12
Salt Lake,2012,Natural,Unknown,36.0,Southeast,17,9300.0,9600.0,12
Skyline,2012,Natural,Facets,15.0,Northeast,16,9600.0,1500.0,12
Salt Lake,2012,Natural,New Snow/Old Snow Interface,10.0,North,17,9600.0,600.0,12
Uintas,2012,Natural,Facets,30.0,Northeast,17,9500.0,2400.0,12
Salt Lake,2012,Snowboarder,New Snow/Old Snow Interface,36.0,Northeast,18,10200.0,1800.0,12
Uintas,2012,Natural,Facets,60.0,Northeast,18,10400.0,6000.0,12
Uintas,2012,Unknown,Ground Interface,60.0,Northeast,18,25924.3742667237,5226.7097858691,12
Salt Lake,2012,Snowboarder,New Snow/Old Snow Interface,30.0,East,19,9800.0,8400.0,12
Salt Lake,2012,Natural,Facets,36.0,Northeast,17,9600.0,6000.0,12
Provo,2012,Natural,Facets,30.0,East,20,9800.0,36000.0,12
Skyline,2012,Snowboarder,Facets,48.0,Northeast,20,9400.0,3600.0,12
