Date,;Region,;Trigger,;Weak Layer,Depth_inches,Vertical_inches,;Aspect,Elevation_feet,Coordinates
2012-11-09,Salt Lake,Snowboarder,New Snow/Old Snow Interface,14,360.0,North,10400.0,"40.577977000000, -111.595817000000"
2012-11-11,Salt Lake,Skier,New Snow/Old Snow Interface,30,1200.0,North,9700.0,"40.592619000000, -111.616099000000"
2012-11-11,Salt Lake,Skier,Facets,36,5400.0,North,10200.0,"40.599291000000, -111.642315000000"
2012-11-11,Salt Lake,Skier,New Snow,"18""",6000.0,Southeast,10200.0,"40.598313000000, -111.628304000000"
2012-11-11,Salt Lake,Skier,Facets,42,9600.0,North,10400.0,"40.578590000000, -111.595087000000"
2012-11-10,Salt Lake,Skier,New Snow/Old Snow Interface,24,1800.0,North,10000.0,"40.591275000000, -111.612425000000"
2012-11-12,Salt Lake,Skier,Facets,30,4800.0,Northeast,9900.0,"40.598541000000, -111.627402000000"
2012-12-08,Salt Lake,Skier,Facets,24,7200.0,North,10300.0,"40.606915000000, -111.643667000000"
2012-12-09,Salt Lake,Skier,Facets,18,2400.0,East,9400.0,"40.662280000000, -111.645341000000"
2012-12-10,Salt Lake,Skier,Facets,18,4800.0,East,9500.0,"40.672143000000, -111.627016000000"
2012-12-11,Salt Lake,Skier,Facets,24,4800.0,Northeast,9700.0,"40.644629000000, -111.577899000000"
2012-12-13,Salt Lake,Unknown,Ground Interface,36,9600.0,North,10000.0,"40.594924000000, -111.655941000000"
2012-12-12,Skyline,Snowmobiler,Facets,12,480.0,North,9600.0,"39.619111000000, -111.293564000000"
2012-12-14,Salt Lake,Explosive,Surface Hoar,48,10800.0,Northeast,10300.0,"40.582149000000, -111.585217000000"
2012-12-14,Salt Lake,Unknown,Facets,30,7200.0,North,10100.0,"40.599291000000, -111.641221000000"
2012-12-17,Salt Lake,Natural,Unknown,36,9600.0,Southeast,9300.0,"40.653220000000, -111.584487000000"
2012-12-16,Skyline,Natural,Facets,15,1500.0,Northeast,9600.0,"39.603572000000, -111.282921000000"
2012-12-17,Salt Lake,Natural,New Snow/Old Snow Interface,10,600.0,North,9600.0,"40.604732000000, -111.570325000000"
2012-12-17,Uintas,Natural,Facets,30,2400.0,Northeast,9500.0,"40.840762000000, -111.048431000000"
2012-12-18,Salt Lake,Snowboarder,New Snow/Old Snow Interface,36,1800.0,Northeast,10200.0,"40.596326000000, -111.559682000000"
2012-12-18,Uintas,Natural,Facets,60,6000.0,Northeast,10400.0,"40.379309000000, -111.174345000000"
2012-12-18,Uintas,Unknown,Ground Interface,60,5226.7097858691,Northeast,25924.3742667237,"40.832473000000, -111.065083000000"
2012-12-19,Salt Lake,Snowboarder,New Snow/Old Snow Interface,30,8400.0,East,9800.0,"40.654564000000, -111.593585000000"
2012-12-17,Salt Lake,Natural,Facets,36,6000.0,Northeast,9600.0,"41.931369000000, -111.670232000000"
2012-12-20,Provo,Natural,Facets,30,36000.0,East,9800.0,"40.388980000000, -111.621244000000"
2012-12-20,Skyline,Snowboarder,Facets,48,3600.0,Northeast,9400.0,"39.619045000000, -111.325922000000"
2012-12-20,Uintas,Snowmobiler,Facets,48,3600.0,Northeast,10000.0,"40.872767000000, -110.973930000000"
2012-12-21,Skyline,Snowmobiler,Ground Interface,42,7200.0,Northeast,10200.0,"39.571028000000, -111.285968000000"
2012-12-22,Uintas,Snowmobiler,Facets,36,3600.0,Northeast,10400.0,"40.838132000000, -111.014614000000"
2012-12-22,Uintas,Snowmobiler,Facets,36,1200.0,Northeast,9500.0,"40.469698000000, -111.098557000000"
2012-12-23,Salt Lake,Unknown,New Snow/Old Snow Interface,54,1800.0,West,9700.0,"40.604635000000, -111.648259000000"
2012-12-27,Salt Lake,Skier,New Snow,12,6000.0,East,9400.0,"40.671102000000, -111.599936000000"
2012-12-27,Salt Lake,Skier,Density Change,14,6000.0,Northeast,10400.0,"40.604928000000, -111.642766000000"
2012-12-28,Salt Lake,Skier,Facets,24,5400.0,Northwest,9500.0,"40.668146000000, -111.689994000000"
2012-12-26,Skyline,Natural,Facets,24,1200.0,North,9600.0,"39.631341000000, -111.331329000000"
2012-12-28,Salt Lake,Snowboarder,New Snow/Old Snow Interface,12,3600.0,East,10500.0,"40.592301000000, -111.560529000000"
2012-12-27,Provo,Natural,Facets,30,2400.0,Northwest,10000.0,"40.492824000000, -111.700938000000"
2012-12-29,Ogden,Natural,New Snow,24,1200.0,East,7500.0,"41.374200000000, -111.940491000000"
2013-01-01,Salt Lake,Skier,Density Change,12,1200.0,Southeast,10400.0,"40.577260000000, -111.598949000000"
2013-01-02,Salt Lake,Skier,Unknown,12,2400.0,North,9000.0,"40.681224000000, -111.595559000000"
2013-01-09,Salt Lake,Snowmobiler,Facets,36,2400.0,North,9200.0,"40.854332000000, -111.479645000000"
2013-01-09,Logan,Natural,Wet grains,10,3600.0,South,6800.0,"41.690604000000, -111.742887000000"
2013-01-11,Salt Lake,Skier,Facets,18,6000.0,Northeast,9300.0,"40.677058000000, -111.682720000000"
2013-01-12,Salt Lake,Skier,Density Change,12,720.0,Northeast,9200.0,"40.643364000000, -111.595044000000"
2013-01-12,Salt Lake,Skier,Facets,18,8400.0,Northeast,7900.0,"40.721235000000, -111.677012000000"
2013-01-12,Salt Lake,Natural,Depth Hoar,24,9600.0,Northeast,10300.0,"40.596326000000, -111.719799000000"
2013-01-12,Salt Lake,Skier,Facets,18,4200.0,Northeast,9300.0,"40.677937000000, -111.683922000000"
2013-01-11,Salt Lake,Natural,Facets,30,15000.0,East,10300.0,"40.596880000000, -111.719885000000"
2013-01-17,Salt Lake,Unknown,Unknown,6,1800.0,East,10200.0,"40.601181000000, -111.667163000000"
2012-12-27,Skyline,Natural,Facets,36,8400.0,North,9900.0,"39.551819000000, -111.317339000000"
2013-01-18,Salt Lake,Natural,New Snow,12,600.0,East,8100.0,"40.858487000000, -111.746750000000"
2013-01-23,Ogden,Snowboarder,Facets,12,600.0,Northeast,7300.0,"41.372540000000, -111.937759000000"
2013-01-24,Provo,Natural,Facets,12,12000.0,Northwest,6200.0,"40.350469000000, -111.577106000000"
2013-01-25,Logan,Unknown,Ground Interface,12,6000.0,North,6000.0,"41.831840000000, -111.592426000000"
2013-01-25,Provo,Natural,Facets,12,21000.0,North,7300.0,"40.338203000000, -111.591868000000"
2013-01-25,Logan,Snowmobiler,Unknown,14,6000.0,East,8600.0,"41.886864000000, -111.645899000000"
2013-01-25,Logan,Snowmobiler,Facets,12,4800.0,North,8600.0,"41.887007000000, -111.646028000000"
2013-01-26,Salt Lake,Unknown,Facets,14,1500.0,Northeast,9600.0,"40.546869000000, -111.697247000000"
2013-01-26,Salt Lake,Skier,Facets,12,4800.0,Northwest,9700.0,"40.550396000000, -111.666026000000"
2013-01-26,Logan,Natural,Ground Interface,10,7200.0,Northwest,5600.0,"41.740930000000, -111.785588000000"
2013-01-27,Salt Lake,Skier,New Snow/Old Snow Interface,12,600.0,Unknown,9700.0,"40.655867000000, -111.602769000000"
2013-01-28,Salt Lake,Skier,Facets,24,6000.0,North,9600.0,"40.551100000000, -111.709100000000"
2013-01-28,Salt Lake,Skier,Facets,36,840.0,Northwest,9800.0,"40.593328000000, -111.597705000000"
2013-01-28,Salt Lake,Skier,Facets,3,1800.0,Northwest,9900.0,"40.593067000000, -111.598091000000"
2013-01-30,Salt Lake,Skier,New Snow/Old Snow Interface,36,6000.0,Northeast,9400.0,"40.662671000000, -111.646371000000"
2013-01-31,Salt Lake,Skier,Facets,18,960.0,Northwest,7800.0,"40.639481000000, -111.616695000000"
2013-01-31,Skyline,Natural,Facets,18,1800.0,Northeast,9800.0,"39.601588000000, -111.306953000000"
2013-01-31,Skyline,Natural,Facets,18,2400.0,Northeast,9800.0,"39.606217000000, -111.288929000000"
2013-01-30,Skyline,Natural,Density Change,24,9600.0,East,10200.0,"39.510994000000, -111.320171000000"
2013-02-01,Ogden,Natural,Ground Interface,12,12000.0,North,5800.0,"41.133514000000, -111.886868000000"
2013-02-02,Provo,Skier,Facets,24,960.0,East,9400.0,"40.503129000000, -111.694307000000"
2013-02-02,Provo,Skier,Facets,24,6000.0,North,9100.0,"40.430224000000, -111.657486000000"
2013-02-02,Salt Lake,Skier,Facets,30,2400.0,Northwest,9900.0,"40.601181000000, -111.635170000000"
2013-02-02,Southwest,Snowmobiler,Facets,30,4800.0,Northeast,10400.0,"38.736210000000, -111.659160000000"
2013-02-02,Southwest,Snowmobiler,Facets,36,6000.0,Northeast,10400.0,"38.737013000000, -111.660018000000"
2013-02-02,Salt Lake,Skier,Facets,36,24000.0,North,9900.0,"40.604146000000, -111.707654000000"
2013-02-02,Skyline,Snowmobiler,Facets,24,3600.0,East,10100.0,"39.509901000000, -111.296611000000"
2013-02-02,Skyline,Snowmobiler,Facets,24,3600.0,Northeast,10300.0,"39.513146000000, -111.300302000000"
2013-02-02,Skyline,Snowmobiler,Facets,24,4800.0,Northeast,10400.0,"39.514570000000, -111.302533000000"
2013-02-01,Skyline,Snowmobiler,Density Change,30,1200.0,East,9700.0,"39.589022000000, -111.302447000000"
2013-02-03,Salt Lake,Skier,Facets,30,4200.0,North,9900.0,"40.599356000000, -111.625471000000"
2013-02-03,Salt Lake,Skier,Facets,18,3600.0,Northwest,8900.0,"40.637534000000, -111.563587000000"
2013-02-03,Logan,Snowmobiler,Facets,24,3600.0,Northeast,8400.0,"41.888189000000, -111.641092000000"
2013-02-03,Logan,Natural,Facets,24,5400.0,East,9200.0,"41.913072000000, -111.653194000000"
2013-02-03,Uintas,Snowmobiler,Facets,16,1800.0,Northeast,11000.0,"40.855013000000, -110.707083000000"
2013-02-02,Uintas,Snowmobiler,Facets,12,2400.0,Southeast,10600.0,"40.865627000000, -110.707383000000"
2013-02-03,Uintas,Snowmobiler,Facets,24,6000.0,Northeast,10600.0,"40.804942000000, -110.953074000000"
2013-02-03,Uintas,Snowmobiler,Facets,36,3000.0,Northeast,10000.0,"40.870690000000, -110.970068000000"
2013-02-05,Provo,Natural,Facets,12,24000.0,East,9700.0,"40.362118000000, -111.625707000000"
2013-02-05,Logan,Unknown,Facets,36,5400.0,Southeast,9500.0,"41.917888000000, -111.674480000000"
2013-02-01,Salt Lake,Unknown,Unknown,30,7200.0,Northeast,9800.0,"40.597988000000, -111.683578000000"
2013-02-10,Salt Lake,Natural,Ground Interface,60,5400.0,Northeast,9500.0,"40.599291000000, -111.719112000000"
