city,state,date__,time__,shape,duration -- seconds,comments,date posted,latitude,longitude 
boise,id,1991-03-10,03:00:00,disk,600.0,Saucer Shaped Craft Followed Me,5/29/2012,43.6136111,-116.2025
pasadena,tx,1991-11-15,19:30:00,unknown,600.0,UFO sighting in Pasadena TX in November 1991.,3/19/2009,29.6908333,-95.2088889
commerce,tx,1991-08-01,02:00:00,circle,120.0,spoked wheel flies in front of the moon,12/23/2002,33.2469444,-95.8997222
levittown,ny,1991-06-10,23:35:00,circle,300.0,My Mother her boyfriend and myself seen a spaceship like the one from Close Encounters of the 3rd kind hovering for like 5 minutes,3/19/2009,40.7258333,-73.5147222
grants (southeast of),nm,1991-05-05,20:30:00,light,120.0,bright light travelling normal speed stops above us for minutes then shoots off in nighttime NM sky.,8/28/2003,35.1472222,-107.8508333
huntington beach,ca,1991-06-15,12:00:00,circle,1200.0,Round all silver circle with black dots on inner edges with two white lights near it,12/2/2000,33.6602778,-117.9983333
council bluffs,ia,1991-08-31,20:00:00,cylinder,300.0,Daytime sighting of a black stationary tube that looked like UFO from Star Trek Movie with the whales.,12/19/2003,41.2619444,-95.8608333
willingboro,nj,1991-01-15,22:00:00,unknown,18000.0,Five and a half hour light show&#44 first one then many. Hovering &#44 moving fast and seemingly just flying around ...read on,9/17/2003,40.0277778,-74.8694444
boulder (10 miles west),co,1991-10-31,13:30:00,circle,45.0,Two glowing translucent spheres chasing and playing &quot;tag&quot; in the trees&#44 one landed&#44 one flew away.,1/21/2008,40.015,-105.27
chowchilla,ca,1991-08-15,03:00:00,disk,259200.0,When I was 16 years old I worked on my Dad&#8217;s vineyard. The ranch was a large ranch&#44 almost 1000 acres&#44 and was out in the middle of now,3/18/2014,37.1230556,-120.2591667
grand rapids,mi,1991-12-10,21:30:00,other,3.5,hugh  triangulation of  lights&#44nine in all&#44traveling with stunning cooperation and velocity&#44all rotating&#44silently and quick&#33,4/27/2004,42.9633333,-85.6680556
canton,ny,1991-06-01,23:30:00,light,180.0,Three&#44 blue&#44 circular lights were hovering in a triangle formation over a field in Northern&#44 NY in June 1991.,6/12/2007,44.5955556,-75.1694444
