Date,Region,Place,Trigger,Trigger: additional info,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed,Accident and Rescue Summary,Terrain Summary,Weather Conditions and History,Comments 1,Comments 2,Comments 3,Comments 4,Depth_Inches,Width_Inches,Vertical_Inches,Elevation_Feet
2/10/2014,Uintas,Uintas Lake Creek Avalanche Cycle,Natural,,Depth Hoar,4',300',350',Northeast,"10,000'","40.421521000000, -111.130486000000",,,,,,,,,,"





 





Avalanche everywhere on the south half of the range.
",,,,48.0,3600.0,4200.0,10000.0
1/27/2023,Provo,Bunnels,Skier,,,2',150',,East,"9,400'","40.313087385727, -111.580398546940",,1.0,,,,,,,,"We triggered a wind slab at 9400' on an East-facing slope while skinning up Bunnell's fork. Crown was about 150' wide and 10""-24"" thick. The slide went about 100' then stopped on a lower angle slope. Avalanche broke about 20' above skier, who was then carried about 60'. Second skier observed from an adjacent slope and was not carried. No injuries and no burial. We heard and felt a loud whomph about 1 hr before this, so we tried to stay on low angle terrain, but with low visibility ended up on a steep slope anyway. Should've turned around when we heard the whomph.
",,,,24.0,1800.0,,9400.0
1/24/2016,Salt Lake,Lambs Canyon,,,,,,,,"7,500'",,,,,,,,,,,"Roughly 6"" of new snow fell overnight 1/23-1/24. Lower elevations ~7k HS60-90cm depending on tree cover. Upper elevations ~8k HS115-125 subjective to N facing or S facing facing aspects. Southern aspects were subject to Friday's sun and showed a good amount of crusty behavior. They were however stubborn to allow the new snow to slide. Slope angles of 40deg or greater produces small releases with little travel. The new snow at these elevations was very cohesive. ",,,,,,,7500.0
5/19/2014,Salt Lake,Big Willow,Natural,,Ground Interface,6',300',"1,000'",Northeast,"10,300'",,,,,,,,,,,"On my way home from the gym when I notice a very large slide in the Big Willow Aprons... I can't believe what I'm seeing and nearly wreck. Actually, I'm super jacked on caffeine and that might have added to the excitement... but none-the-less,  this thing is huge and can be seen from the SL Valley. Looks like a large piece of granite peeled off the steep rock band above the snowfield and triggered a wet slab breaking to the ground. Reminds me of a similar event in May of 07 off Sugarloaf Peak.

Image below is from Google Earth for reference, not the slide itself.... more pics to follow.


",,,,72.0,3600.0,12000.0,10300.0
12/19/2010,Logan,Beaver Canyon,Unknown,,New Snow/Old Snow Interface,"12""",30',50',West,"7,100'","41.955597000000, -111.543288000000",,,,,,,,,,"Saw a wet slab, 30x30, probably snow plow triggered, along s. side of road, W. of backside parking lot, on way back from beav.",,,,12.0,360.0,600.0,7100.0
3/4/2023,Ogden,Cutler Ridge,Skier,Unintentionally Triggered,Density Change,"10""",70',100',Northeast,"8,000'",,,,,,,,,,,"While traversing out of some trees to get to an untracked lane, I came up on what looked like drifted snow. I pulled up to the top of it and came to a stop. I immediately got shooting cracks from my tips then watched it pull out 10 feet below me. Even though it was quite small I still heard it brake a few tree branches. Keep a sharp eye out and don't hesitate if something looks off.
",,,,10.0,840.0,1200.0,8000.0
12/22/2022,Skyline,BBQ Bowl,Natural,,Facets,2.5',200',500',East,"10,100'","39.510811352176, -111.320235716460",,,,,,,,,,"This avalanche was estimated to have released on Dec 22nd during a strong northwest wind event.  The debris was still quite fresh which gave me a good idea of the timing of the slide.
",,,It's unknown whether this released as a result of a cornice fall or just an overloaded slope from the wind. One thing is certain is that it did involve the November faceted layer.,30.0,2400.0,6000.0,10100.0
2/15/2018,Moab,Moab,Natural,,,,,,North,,"38.404057329995, -109.258604036900",,,,,,,,,,Observed from a distance while xc skiing,,,,,,,
3/7/2017,Salt Lake,Superior,,,,,50',"1,500'",South,"11,000'",,,,,,,,,,,"Unintentionally triggered a soft wind slab. I believe that warming due to sun exposure contributed to the avalanche, as several tracks had been made down the same portion of the face earlier in the day, most likely when the wind slab was colder, harder, and more stubborn. The slide ran faster and farther than I would have expected, entraining quite a bit of snow on the way down. 

A couple thoughts on the human factor aspect of this avalanche:
- Social acceptance: My friend was visiting from Moab, had never skied off Superior before, and was excited to check it out. Perhaps this influenced me to overlook some signs of wind loading. 

Tracks: This was a big one. Nearly 2 dozen people had skied the South Face on a variety of aspects before we dropped in, without incident. In the past I have considered other tracks to be a reasonable sign of stability when dealing with a wind slab hazard when there is no persistent weak layer involved. Today there were a couple previous tracks through our line, and the second skier in our party triggered the slide. ",,,,,600.0,18000.0,11000.0
11/29/2022,Skyline,Skyline,,,,,,,,,,,,,,,,,,,"I found a number of small natural avalanches that released during the storm.  They all fractured and broke into loose faceted snow which formed during the November dry spell.
",,,"My partner and I also experienced cracking, collapsing and triggered a couple of very small pockets that fractured 50 to 100 feet away from us. This is typical behavior for a buried Persistent Weak Layer. This is a dead giveaway that avalanche conditions will become dangerous at some point during upcoming storms.",,,,
