;Region,Year,;Trigger,;Weak Layer,Depth_inches,Elevation_feet,Vertical_inches,Coordinates,Month,;Aspect,Day
Salt Lake,2012,Snowboarder,New Snow/Old Snow Interface,14,10400.0,360.0,"40.577977000000, -111.595817000000",11,North,9
Salt Lake,2012,Skier,New Snow/Old Snow Interface,30,9700.0,1200.0,"40.592619000000, -111.616099000000",11,North,11
Salt Lake,2012,Skier,Facets,36,10200.0,5400.0,"40.599291000000, -111.642315000000",11,North,11
Salt Lake,2012,Skier,New Snow,"18""",10200.0,6000.0,"40.598313000000, -111.628304000000",11,Southeast,11
Salt Lake,2012,Skier,Facets,42,10400.0,9600.0,"40.578590000000, -111.595087000000",11,North,11
Salt Lake,2012,Skier,New Snow/Old Snow Interface,24,10000.0,1800.0,"40.591275000000, -111.612425000000",11,North,10
Salt Lake,2012,Skier,Facets,30,9900.0,4800.0,"40.598541000000, -111.627402000000",11,Northeast,12
Salt Lake,2012,Skier,Facets,24,10300.0,7200.0,"40.606915000000, -111.643667000000",12,North,8
Salt Lake,2012,Skier,Facets,18,9400.0,2400.0,"40.662280000000, -111.645341000000",12,East,9
Salt Lake,2012,Skier,Facets,18,9500.0,4800.0,"40.672143000000, -111.627016000000",12,East,10
Salt Lake,2012,Skier,Facets,24,9700.0,4800.0,"40.644629000000, -111.577899000000",12,Northeast,11
Salt Lake,2012,Unknown,Ground Interface,36,10000.0,9600.0,"40.594924000000, -111.655941000000",12,North,13
Skyline,2012,Snowmobiler,Facets,12,9600.0,480.0,"39.619111000000, -111.293564000000",12,North,12
Salt Lake,2012,Explosive,Surface Hoar,48,10300.0,10800.0,"40.582149000000, -111.585217000000",12,Northeast,14
Salt Lake,2012,Unknown,Facets,30,10100.0,7200.0,"40.599291000000, -111.641221000000",12,North,14
Salt Lake,2012,Natural,Unknown,36,9300.0,9600.0,"40.653220000000, -111.584487000000",12,Southeast,17
Skyline,2012,Natural,Facets,15,9600.0,1500.0,"39.603572000000, -111.282921000000",12,Northeast,16
Salt Lake,2012,Natural,New Snow/Old Snow Interface,10,9600.0,600.0,"40.604732000000, -111.570325000000",12,North,17
Uintas,2012,Natural,Facets,30,9500.0,2400.0,"40.840762000000, -111.048431000000",12,Northeast,17
Salt Lake,2012,Snowboarder,New Snow/Old Snow Interface,36,10200.0,1800.0,"40.596326000000, -111.559682000000",12,Northeast,18
Uintas,2012,Natural,Facets,60,10400.0,6000.0,"40.379309000000, -111.174345000000",12,Northeast,18
Uintas,2012,Unknown,Ground Interface,60,25924.3742667237,5226.7097858691,"40.832473000000, -111.065083000000",12,Northeast,18
Salt Lake,2012,Snowboarder,New Snow/Old Snow Interface,30,9800.0,8400.0,"40.654564000000, -111.593585000000",12,East,19
Salt Lake,2012,Natural,Facets,36,9600.0,6000.0,"41.931369000000, -111.670232000000",12,Northeast,17
Provo,2012,Natural,Facets,30,9800.0,36000.0,"40.388980000000, -111.621244000000",12,East,20
Skyline,2012,Snowboarder,Facets,48,9400.0,3600.0,"39.619045000000, -111.325922000000",12,Northeast,20
Uintas,2012,Snowmobiler,Facets,48,10000.0,3600.0,"40.872767000000, -110.973930000000",12,Northeast,20
Skyline,2012,Snowmobiler,Ground Interface,42,10200.0,7200.0,"39.571028000000, -111.285968000000",12,Northeast,21
Uintas,2012,Snowmobiler,Facets,36,10400.0,3600.0,"40.838132000000, -111.014614000000",12,Northeast,22
Uintas,2012,Snowmobiler,Facets,36,9500.0,1200.0,"40.469698000000, -111.098557000000",12,Northeast,22
Salt Lake,2012,Unknown,New Snow/Old Snow Interface,54,9700.0,1800.0,"40.604635000000, -111.648259000000",12,West,23
Salt Lake,2012,Skier,New Snow,12,9400.0,6000.0,"40.671102000000, -111.599936000000",12,East,27
Salt Lake,2012,Skier,Density Change,14,10400.0,6000.0,"40.604928000000, -111.642766000000",12,Northeast,27
Salt Lake,2012,Skier,Facets,24,9500.0,5400.0,"40.668146000000, -111.689994000000",12,Northwest,28
Skyline,2012,Natural,Facets,24,9600.0,1200.0,"39.631341000000, -111.331329000000",12,North,26
Salt Lake,2012,Snowboarder,New Snow/Old Snow Interface,12,10500.0,3600.0,"40.592301000000, -111.560529000000",12,East,28
Provo,2012,Natural,Facets,30,10000.0,2400.0,"40.492824000000, -111.700938000000",12,Northwest,27
Ogden,2012,Natural,New Snow,24,7500.0,1200.0,"41.374200000000, -111.940491000000",12,East,29
Salt Lake,2013,Skier,Density Change,12,10400.0,1200.0,"40.577260000000, -111.598949000000",1,Southeast,1
Salt Lake,2013,Skier,Unknown,12,9000.0,2400.0,"40.681224000000, -111.595559000000",1,North,2
Salt Lake,2013,Snowmobiler,Facets,36,9200.0,2400.0,"40.854332000000, -111.479645000000",1,North,9
Logan,2013,Natural,Wet grains,10,6800.0,3600.0,"41.690604000000, -111.742887000000",1,South,9
Salt Lake,2013,Skier,Facets,18,9300.0,6000.0,"40.677058000000, -111.682720000000",1,Northeast,11
Salt Lake,2013,Skier,Density Change,12,9200.0,720.0,"40.643364000000, -111.595044000000",1,Northeast,12
Salt Lake,2013,Skier,Facets,18,7900.0,8400.0,"40.721235000000, -111.677012000000",1,Northeast,12
Salt Lake,2013,Natural,Depth Hoar,24,10300.0,9600.0,"40.596326000000, -111.719799000000",1,Northeast,12
Salt Lake,2013,Skier,Facets,18,9300.0,4200.0,"40.677937000000, -111.683922000000",1,Northeast,12
Salt Lake,2013,Natural,Facets,30,10300.0,15000.0,"40.596880000000, -111.719885000000",1,East,11
Salt Lake,2013,Unknown,Unknown,6,10200.0,1800.0,"40.601181000000, -111.667163000000",1,East,17
Skyline,2012,Natural,Facets,36,9900.0,8400.0,"39.551819000000, -111.317339000000",12,North,27
Salt Lake,2013,Natural,New Snow,12,8100.0,600.0,"40.858487000000, -111.746750000000",1,East,18
Ogden,2013,Snowboarder,Facets,12,7300.0,600.0,"41.372540000000, -111.937759000000",1,Northeast,23
Provo,2013,Natural,Facets,12,6200.0,12000.0,"40.350469000000, -111.577106000000",1,Northwest,24
Logan,2013,Unknown,Ground Interface,12,6000.0,6000.0,"41.831840000000, -111.592426000000",1,North,25
Provo,2013,Natural,Facets,12,7300.0,21000.0,"40.338203000000, -111.591868000000",1,North,25
Logan,2013,Snowmobiler,Unknown,14,8600.0,6000.0,"41.886864000000, -111.645899000000",1,East,25
Logan,2013,Snowmobiler,Facets,12,8600.0,4800.0,"41.887007000000, -111.646028000000",1,North,25
Salt Lake,2013,Unknown,Facets,14,9600.0,1500.0,"40.546869000000, -111.697247000000",1,Northeast,26
Salt Lake,2013,Skier,Facets,12,9700.0,4800.0,"40.550396000000, -111.666026000000",1,Northwest,26
Logan,2013,Natural,Ground Interface,10,5600.0,7200.0,"41.740930000000, -111.785588000000",1,Northwest,26
Salt Lake,2013,Skier,New Snow/Old Snow Interface,12,9700.0,600.0,"40.655867000000, -111.602769000000",1,Unknown,27
Salt Lake,2013,Skier,Facets,24,9600.0,6000.0,"40.551100000000, -111.709100000000",1,North,28
Salt Lake,2013,Skier,Facets,36,9800.0,840.0,"40.593328000000, -111.597705000000",1,Northwest,28
Salt Lake,2013,Skier,Facets,3,9900.0,1800.0,"40.593067000000, -111.598091000000",1,Northwest,28
Salt Lake,2013,Skier,New Snow/Old Snow Interface,36,9400.0,6000.0,"40.662671000000, -111.646371000000",1,Northeast,30
Salt Lake,2013,Skier,Facets,18,7800.0,960.0,"40.639481000000, -111.616695000000",1,Northwest,31
Skyline,2013,Natural,Facets,18,9800.0,1800.0,"39.601588000000, -111.306953000000",1,Northeast,31
Skyline,2013,Natural,Facets,18,9800.0,2400.0,"39.606217000000, -111.288929000000",1,Northeast,31
Skyline,2013,Natural,Density Change,24,10200.0,9600.0,"39.510994000000, -111.320171000000",1,East,30
Ogden,2013,Natural,Ground Interface,12,5800.0,12000.0,"41.133514000000, -111.886868000000",2,North,1
Provo,2013,Skier,Facets,24,9400.0,960.0,"40.503129000000, -111.694307000000",2,East,2
Provo,2013,Skier,Facets,24,9100.0,6000.0,"40.430224000000, -111.657486000000",2,North,2
Salt Lake,2013,Skier,Facets,30,9900.0,2400.0,"40.601181000000, -111.635170000000",2,Northwest,2
Southwest,2013,Snowmobiler,Facets,30,10400.0,4800.0,"38.736210000000, -111.659160000000",2,Northeast,2
Southwest,2013,Snowmobiler,Facets,36,10400.0,6000.0,"38.737013000000, -111.660018000000",2,Northeast,2
Salt Lake,2013,Skier,Facets,36,9900.0,24000.0,"40.604146000000, -111.707654000000",2,North,2
Skyline,2013,Snowmobiler,Facets,24,10100.0,3600.0,"39.509901000000, -111.296611000000",2,East,2
Skyline,2013,Snowmobiler,Facets,24,10300.0,3600.0,"39.513146000000, -111.300302000000",2,Northeast,2
Skyline,2013,Snowmobiler,Facets,24,10400.0,4800.0,"39.514570000000, -111.302533000000",2,Northeast,2
Skyline,2013,Snowmobiler,Density Change,30,9700.0,1200.0,"39.589022000000, -111.302447000000",2,East,1
Salt Lake,2013,Skier,Facets,30,9900.0,4200.0,"40.599356000000, -111.625471000000",2,North,3
Salt Lake,2013,Skier,Facets,18,8900.0,3600.0,"40.637534000000, -111.563587000000",2,Northwest,3
