CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,Block_Location,BLKADDR,Lat,Lon
19048515,DISTURBANCE,08/29/2019 12:00:00 AM,23:29,DISORDERLY CONDUCT,4,"UNIVERSITY AVE
Berkeley, CA",UNIVERSITY AVE,,
19048149,FRAUD/FORGERY,08/22/2019 12:00:00 AM,12:00,FRAUD,4,"2500 ETNA ST
Berkeley, CA",2500 ETNA ST,,
19065601,IDENTITY THEFT,07/01/2019 12:00:00 AM,00:00,FRAUD,1,"1100 WALNUT ST
Berkeley, CA
(37.887961, -122.269822)",1100 WALNUT ST,37.887961,-122.269822
19041411,VANDALISM,07/29/2019 12:00:00 AM,03:30,VANDALISM,1,"200 UNIVERSITY AV
Berkeley, CA
(37.865511, -122.309967)",200 UNIVERSITY AV,37.865511,-122.309967
19043603,VANDALISM,08/08/2019 12:00:00 AM,01:20,VANDALISM,4,"2500 SAN PABLO AV
Berkeley, CA
(37.861078, -122.289632)",2500 SAN PABLO AV,37.861078000000006,-122.289632
19046163,DISTURBANCE,08/19/2019 12:00:00 AM,23:54,DISORDERLY CONDUCT,1,"1100 EASTSHORE HW
Berkeley, CA
(37.885683, -122.308114)",1100 EASTSHORE HW,37.885683,-122.308114
19091428,BURGLARY AUTO,07/18/2019 12:00:00 AM,21:25,BURGLARY - VEHICLE,4,"1900 UNIVERSITY AV
Berkeley, CA
(37.871544, -122.272714)",1900 UNIVERSITY AV,37.871544,-122.272714
19042765,THEFT MISD. (UNDER $950),08/04/2019 12:00:00 AM,13:15,LARCENY,0,"2100 SHATTUCK AV
Berkeley, CA
(37.871167, -122.268285)",2100 SHATTUCK AV,37.871167,-122.268285
19043970,SEXUAL ASSAULT MISD.,08/07/2019 12:00:00 AM,17:00,SEX CRIME,3,"1400 BONITA AV
Berkeley, CA
(37.881433, -122.272921)",1400 BONITA AV,37.881433,-122.272921
19091552,BURGLARY AUTO,08/01/2019 12:00:00 AM,22:45,BURGLARY - VEHICLE,4,"1500 ACTON ST
Berkeley, CA
(37.878051, -122.285222)",1500 ACTON ST,37.878051,-122.285222
19091430,BURGLARY AUTO,07/18/2019 12:00:00 AM,20:00,BURGLARY - VEHICLE,4,"900 GILMAN ST
Berkeley, CA
(37.879677, -122.299779)",900 GILMAN ST,37.879677,-122.299779
19091868,IDENTITY THEFT,08/02/2019 12:00:00 AM,17:45,FRAUD,5,"1400 VIRGINIA ST
Berkeley, CA
(37.874575, -122.284796)",1400 VIRGINIA ST,37.874575,-122.284796
19045413,VANDALISM,08/14/2019 12:00:00 AM,18:30,VANDALISM,3,"1400 NINTH ST
Berkeley, CA
(37.878274, -122.297556)",1400 NINTH ST,37.878274,-122.297556
19071253,SEXUAL ASSAULT FEL.,08/04/2019 12:00:00 AM,22:00,SEX CRIME,0,"DELAWARE STREET & SHATTUCK AV
Berkeley, CA
(37.874781, -122.268758)",DELAWARE STREET & SHATTUCK AV,37.874781,-122.268758
19046950,IDENTITY THEFT,07/04/2019 12:00:00 AM,00:00,FRAUD,4,"2100 SHATTUCK AVE
Berkeley, CA
(37.871167, -122.268285)",2100 SHATTUCK AVE,37.871167,-122.268285
19047236,BURGLARY COMMERCIAL,08/23/2019 12:00:00 AM,11:45,BURGLARY - COMMERCIAL,5,"900 UNIVERSITY AV
Berkeley, CA
(37.868263, -122.296013)",900 UNIVERSITY AV,37.868263,-122.296013
19091454,VANDALISM,07/15/2019 12:00:00 AM,03:15,VANDALISM,1,"1000 MURRAY ST
Berkeley, CA
(37.851203, -122.289129)",1000 MURRAY ST,37.85120300000001,-122.289129
19091713,THEFT MISD. (UNDER $950),08/20/2019 12:00:00 AM,06:50,LARCENY,2,"1800 SAN LORENZO AVE
Berkeley, CA
(37.894256, -122.281603)",1800 SAN LORENZO AVE,37.894256,-122.281603
19045495,ASSAULT/BATTERY MISD.,08/16/2019 12:00:00 AM,17:50,ASSAULT,5,"2200 SHATTUCK AV
Berkeley, CA
(37.869363, -122.268028)",2200 SHATTUCK AV,37.869363,-122.268028
19046960,BURGLARY COMMERCIAL,08/23/2019 12:00:00 AM,02:27,BURGLARY - COMMERCIAL,5,"1800 SOLANO AV
Berkeley, CA
(37.891332, -122.279975)",1800 SOLANO AV,37.891332,-122.279975
19091416,THEFT MISD. (UNDER $950),07/17/2019 12:00:00 AM,14:30,LARCENY,3,"1300 ALCATRAZ AV
Berkeley, CA
(37.847442, -122.281175)",1300 ALCATRAZ AV,37.847442,-122.281175
19044126,VANDALISM,08/09/2019 12:00:00 AM,17:00,VANDALISM,5,"2700 SHATTUCK AV
Berkeley, CA
(37.859802, -122.267177)",2700 SHATTUCK AV,37.859802,-122.267177
19045540,ALCOHOL OFFENSE,08/16/2019 12:00:00 AM,21:31,LIQUOR LAW VIOLATION,5,"1400 SHATTUCK AV
Berkeley, CA
(37.881957, -122.269551)",1400 SHATTUCK AV,37.881957,-122.269551
19036903,THEFT MISD. (UNDER $950),07/07/2019 12:00:00 AM,18:40,LARCENY,0,"2300 SHATTUCK AV
Berkeley, CA
(37.867157, -122.2678)",2300 SHATTUCK AV,37.867157,-122.2678
19038031,DOMESTIC VIOLENCE,07/13/2019 12:00:00 AM,02:17,FAMILY OFFENSE,6,"BANCROFT WY & FULTON ST
Berkeley, CA
(37.867831, -122.265858)",BANCROFT WY & FULTON ST,37.867831,-122.265858
19046537,THEFT MISD. (UNDER $950),08/21/2019 12:00:00 AM,13:17,LARCENY,3,"2900 COLLEGE AV
Berkeley, CA
(37.858356, -122.253179)",2900 COLLEGE AV,37.858356,-122.253179
19048622,BURGLARY AUTO,08/30/2019 12:00:00 AM,10:30,BURGLARY - VEHICLE,5,"1100 6TH ST
Berkeley, CA
(37.882217, -122.302226)",1100 6TH ST,37.882217,-122.302226
