Date,;Region,Place,;Trigger,;Weak Layer,Depth_inches,Width_inches,Vertical_inches,;Aspect,Elevation_feet,Coordinates,Comments 1
11/9/2012,Salt Lake,Sunset Peak,Snowboarder,New Snow/Old Snow Interface,14.0,960.0,360.0,North,10400.0,"40.577977000000, -111.595817000000","While it was a small avalanche that was I caught in and it did not even move me downhill, I'd like to identify the mistakes clearly made which caused this result. Partner bailed but still went out today with the intent of exploring around Catherine's Pass just to take a look and take one ride out using the low angle terrain near the trail to the pass to get back down to the meadow. Started at 12:30 and got to the pass at 3:00. Since it stopped snowing and began to clear, decided to skin up to the ridgeline for a better view.  Dug 3 pits, one prior in the meadow just for curiosity’s sake, another along the ridge and another towards what I believed to be the top of the run ‘so long’.  After these assessments, it was apparent riding any of these open slopes could be a bad play. By the time I was at what I perceived to be ‘so long’ it was snowing pretty well again and the fatigue that had set in had begun to cloud my judgment. Instead of taking the time to simply use my own skin track back to the meadow, figured I could save time and energy by riding or just hiking down the spine. (Looker’s right of 'so long' utilizing all the trees as anchors.) 

As I started down, I didn’t locate the specific trees I had seen several times before and then realized I was not near so long but actually on sunset, which starts out at even lower angle but has a short, steep section for what I believe was about 20-30 yards to get to the meadow. Attempted 3 turns to release any sluff which it did and released a good bit of snow to my right. So had let that pass and attempted to change direction to exit to my left by crossing the slope and once I did, it released about 5 or so yards above me and was easily able to stop and let the snow pass without issue. 

Took only one photo which is attached and surprised how far it had continued to my left. Again, a bad estimate on distance but would guess 60-80 yards? Rode down to the meadow and out but think about the following mistakes. (1) Should have never been on that north facing slope, especially being well aware of the advisory and previous snow still in place, (2) solo, (3) deviated from original plan, (4) used fatigue and time constraints as an excuse to not backtrack safely, (5) knowingly going into a short, but potential terrain trap, (6) changing direction after releasing the sluff. 

Thought it was important to report and get the appropriate feedback. 

Forecaster Comments:  Excellent perspective on the event.  Thank you for submitting the observation.  Should inspire others heading out over the weekend that avalanche season has begun."
11/11/2012,Salt Lake,Patsy Marly,Skier,New Snow/Old Snow Interface,30.0,1200.0,1200.0,North,9700.0,"40.592619000000, -111.616099000000","A North facing aspect with an exposed ridge into tight pines (200 ft), to a small opening (100 ft section where the slide occurred), to 2nd small patch of pines (Google maps shows it perfectly).  The upper exposed section had a fair amount of whoomping but the snow-pack in the pines was much more stable.  The slide broke right as the first skier left the first set of pines and entered the clearing.  The fracture was about 100 ft wide and ran about an equal distance where it was stopped by the second set of pines.  It was about 2.5 ft deep and ripped everything right to the ground.          "
11/11/2012,Salt Lake,Two Dogs,Skier,Facets,36.0,840.0,5400.0,North,10200.0,"40.599291000000, -111.642315000000","Remotely triggered all the new storm snow (about three feet), which was sitting on top of old October facets. Ran it's full track."
11/11/2012,Salt Lake,Emma Ridges,Skier,New Snow,18.0,600.0,6000.0,Southeast,10200.0,"40.598313000000, -111.628304000000","Impressive fast powder cloud ran in front of this slide for the slide's size. I assume this was due to the very low density snow, but maybe a ""small"" soft slab just looks that scary from below when it goes (I've only seen slides in person from above). The slide itself did not seem to want to bring the snow below it with it. "
11/11/2012,Salt Lake,Sunset Peak,Skier,Facets,42.0,18000.0,9600.0,North,10400.0,"40.578590000000, -111.595087000000","Three of us toured from Brighton to low saddle between Rocky Point and Sunset Pk.  On the way we experienced four collapses, three of which produced remotely triggered avalanches. 
      1st collapse ; treed, north facing, 9900',  with two skier tracks 50' away, no avalanche.
      2nd collapse; partially open terrain (obvious slide path), with trees marking the flanks, northwest, 10300', avalanche.  The slide released 40' down slope where the angle increased, approx. 39 degrees.  The collapse happened on a 20 degree or less angle. Size D2, 100'X3'X200'vert., old snow facets 1.5mm., full depth.
     3rd collapse; open terrain, north, 10450', avalanche.  This was triggered 50' downslope from the ridge, with a similar slope angle as the first slide.  We could not see the depth of the crown from our vantage point, but it's fair to say 3-4'deep, full depth. D2, 60'X3-4'X 700'vert., old snow facets.
     4th collapse; third skier on slope, open terrain, 10350', north, avalanche.  The slope angle was approx. 30 degrees or less.  This was the most significant collapse and avalanche , as this produced at least five slides at different elevations and fracture widths with the widest crown approx. 1000' wide, aspects N-NW. Lake Catherine was hit by debris.  
      Just a couple of side notes.  Our party knew the avalanche hazard for today.  We knew the terrain that we were in. We knew this seasons snow pack history, on going new snow totals, and snow pack structure .  We put the skin track in and monitored it visually to keep tabs on other users.  One other person used it up to Catherine pass.  We did not drop in until the other user was at the pass.  We kept our slope angle low and identified safe spots.  We had good visibility, the run out zone was clear should an avalanche happen.  We thought we would kick a slide off, but we were a bit surprised to see how well the soft slab was connected.  With hard slab failure it is not uncommon to see crowns travel long distances through non uniform terrain, soft slabs however not so much in non uniform terrain.  The snow felt right side up, no wind effect, 4 finger to fist resistance, not very supportable, we could barely make turns on the low angle slope we skied.  We had less than a dozen good turns for the day based on the terrain we chose to ski in/ be in, but we did it safely.    
        "
11/10/2012,Salt Lake,Grizzly Gulch,Skier,New Snow/Old Snow Interface,24.0,1500.0,1800.0,North,10000.0,"40.591275000000, -111.612425000000",Significant Whumfing and settling on lower angle slopes and ridge top. Slide was triggered by the 3rd turn of the skier as they turned over a burried rock.  audible settling and shooting cracks were seen and the skier was able to navigate out of the slide path. The slide ran approximately 150 feet into a line of trees stopped. The slide wiped the slope to mostly bare ground with only a small amount of old snow still present. No one was carried or injured from the party. 
11/12/2012,Salt Lake,Silver Fork Headwall,Skier,Facets,30.0,720.0,4800.0,Northeast,9900.0,"40.598541000000, -111.627402000000","SS-AS-R2-D2-I on the Silverfork Headwall just below the ridge leading to the top of West Bowl.  Group had experienced a few collapses on a similar aspect/elevation while digging a hole.  Walked up ridge and noticed steep convexity that looked fat with some evidence of wind on the slope, stepped out and triggered the pocket.  Fracture propagation was slow but debris picked up speed as it descended.  
"
12/8/2012,Salt Lake,Banana Days,Skier,Facets,24.0,720.0,7200.0,North,10300.0,"40.606915000000, -111.643667000000","Toward the end of a long day of spelunking I triggered what initially seemed like a storm snow avalanche at the top of a short, steep, rock-lined gully in upper Banana Days.  I was deliberately ski cutting the top of this slope when a 10' wide, 1' deep, very soft slab released at my feet, running into the choke of the gully below me.  Below the narrowest portion of this slope, the weight of the debris released a wider avalanche below cliff bands on either side of the narrows.  On the skier's right side of this sympathetic release, the slab failed in pooled graupel that likely accumulated during one of the graupel events in the latter half of this week, and the crown in this portion of the slide was about 16 inches deep; on the skiers left side, a 20-foot wide, 2' soft slab failed on the faceted snow that sat atop the snowpack for several weeks in mid/late November.  The debris from this slide entrained quite a bit of snow, ran until the slope angle decreased significantly, and could have buried a person.  Although it was a crowded day in Silver/Days, nobody was in the area when this slide occurred.  

This slide occurred during what was likely the peak of instability during a day of moderate-heavy snowfall.  Several density changes were noted throughout the day, with heavily rimed flakes and clean, angular stellars falling in consecutive periods.  What initially seemed like a short, manageable portion of complex terrain worth navigating in order to harvest the pow-pow below, was in immediate hindsight a perfect spot to activate a couple of distinct buried weak layers.  The ""November Facets,"" which have lacked a sufficient load to propagate clean shears in snowpit tests, showed their potential with the help of significant shock-loading, and I would not be surprised if additional snow-n-blow overnight makes avalanches failing on this layer-as well as wind slabs and storm snow avalanches failing on buried graupel or various crusts-easier to trigger tommorow.  I would consider midslope terrain features, on NW-N-NE facing slopes above about 10,000', which may have been sheltered during recent wind/rain events, to be most suspicious for possible persistent slab avalanches.

I reported this slide to Alta Central, and it was in turn reported to the UAC, as a 1' deep, 50 foot wide avalanche.  Drew's snowpit is an accurate representation of the snowpack I found in the crown of this slide.  "
12/9/2012,Salt Lake,Butler Fork,Skier,Facets,18.0,1800.0,2400.0,East,9400.0,"40.662280000000, -111.645341000000","Hard to trigger, but an entertaining size once it went.  Took cornice kicking and 2 ski cuts, popping out on second person, second hard cut, dropped onto bed surface.  Photo of deepest spot.
Heavily wind loaded spot, enough weight to overload one of the several weak layers.  Pencil hard slab in places.  Relatively small considering the whole slope, with a high stauchwall.  Seems to be a good preview to what will happen once we get some more snow and weight on these weak layers.
"
12/10/2012,Salt Lake,Little Water Peak,Skier,Facets,18.0,3000.0,4800.0,East,9500.0,"40.672143000000, -111.627016000000","A small thump with a ski on a small cornice produced a shallow wind slab avalanche that was around 6"" deep and 20' wide.  It ran probably 50' down the slope when the big collapse occurred and a real avalanche released.  The collapse was felt up on the flat terrain we were standing on where we were not exposed to any danger.  The crown face was up to 2' deep at the deepest spot.
We were easily able to get onto the bed surface without having any hangfire above us.  The weakness revolved around the rain crusts from the 4th and the 5th of December, which, now have some faceted grains around them.  The avalanche did not break into the deeper November facets.
Earlier in the day we looked at two other recent avalanches on Square Top along the Park City Ridgeline.  Because of the wind and drifting snow we were not able to positively identify which weak layer failed there.  After we triggered Little Water and considering Ev's avalanche on Reynolds on the 9th which both broke around the rain crusts, we are assuming that Square Top had the same weak layer.
The deal here is that the northwest winds formed a significant enough slab on the east facing slopes.  North slopes were not wind loaded enough.  We suspect that above around 9600' or 9800' the rain crust is not present and the danger is less pronounced.  It seems that east facing slopes along ridges which have just been wind loaded and are sitting between 8500 and 9500 feet is where the hazard is.
"
12/11/2012,Salt Lake,MacDonalds Draw,Skier,Facets,24.0,1200.0,4800.0,Northeast,9700.0,"40.644629000000, -111.577899000000","Comments from the reporting party:
Prior to the event, party of three experienced some collapsing during the ascent and evidence of natural sluffing. Due to wind loading on the ridge, Party decided to descend a low angle slope adjacent to, and to the North of, the culprit slope.  The slide released sympathetically after the third skier descended.  The start zone approached 40 degrees, and the slide ran over 400 feet vertical and well into the normal slope run-out zone.   "
12/13/2012,Salt Lake,Cardiff Fork,Unknown,Ground Interface,36.0,600.0,9600.0,North,10000.0,"40.594924000000, -111.655941000000",Dropped this cornice thinking we might get results. Windslab which then steped down to the ground. Went just about full track.  
12/12/2012,Skyline,Wedding Ring Ridge,Snowmobiler,Facets,12.0,1800.0,480.0,North,9600.0,"39.619111000000, -111.293564000000","Steve was wandering around getting his Christmas tree on Tuesday and noted some collapsing on failing crust beneath new snow (6""or so from Sundays storm) above facets.
We had not seen any natural activity early in the week, and found no evidence today, but as we drove over the Miller Flat to check and clear interval board and total stake, I noticed this from the road.  We had skied right here 2 weeks ago, so see that ob for a profile at that time.  I suspect this was triggered on lookers right by a snowmobile (judging from the tracks) a couple of days ago.  While no natural activity had been observed just after the storm, we suspected there had to be pockets that all the parts were in place, and this confirms that idea.  It obviously took more than just loading, like a snowmobile, but things have had a couple more days of strengthening, so the landmines out there will be that much more stubborn.
This is a small terrain feature, a ways off the main ridgeline, and protected by trees on the west.  The typical constant wind had loaded this area and produced the isolated pockety results. 
"
12/14/2012,Salt Lake,Millicent Peak,Explosive,Surface Hoar,48.0,3600.0,10800.0,Northeast,10300.0,"40.582149000000, -111.585217000000","Surface hoar presented as 2mm plates laid over and sparkling (in photo #2) Q1 shear while cutting out wedge on the side to isolate column
"
12/14/2012,Salt Lake,Two Dogs,Unknown,Facets,30.0,720.0,7200.0,North,10100.0,"40.599291000000, -111.641221000000","Standing in the flats of Upper Days, we watched a cornice-triggered slide come off of the Days Headwall just east of Two Dogs.  Slide had come off the ridge and stepped down to bare ground with a 16-30"" crown 50-70 ft. wide.  Ran full-track and as it went over the cliffband triggered another pocket about 1 ft. deep.  Debris was 2-3.5 ft. deep by around 40 ft. wide with some impressive-sized cornice chunks (5-10 ft. long) that had run the full path.  The path was littered with talus, trees, and cliffs and would NOT have been pleasant or manageable to take a ride through.  Slide took out ski tracks in two different shots from earlier in the day.
"
12/17/2012,Salt Lake,MacDonalds Draw,Natural,Unknown,36.0,2400.0,9600.0,Southeast,9300.0,"40.653220000000, -111.584487000000","We were traveling along the MacDonalds ridge when this avalanche occurred naturally.  We were well past the area that slid so it was definitely not remotely triggered by us.  It appeared to be caused by the heavy winds which had loaded snow under the cliff band above.  The slide ran into the gully, to the flats. Certainly not something you would have wanted to be a part of.  There were no other parties in the area.  We reported to Alta Central and spoke with canyons ski patrol once we had exited the area.  "
12/16/2012,Skyline,Wedding Ring Ridge,Natural,Facets,15.0,3000.0,1500.0,Northeast,9600.0,"39.603572000000, -111.282921000000",We did a profile in this slide path two weeks ago - There was a hard slab over facets - Looks to have been caused by new snow/wind overloading existing snow - the slope was a rocky area with a shallow snow pack.  Along this ridge there were 2 other slides same characteristics. New snow 15 cm at Millers Flat. 
12/17/2012,Salt Lake,Brighton Hill,Natural,New Snow/Old Snow Interface,10.0,60.0,600.0,North,9600.0,"40.604732000000, -111.570325000000","Strong winds this morning were having their way with our low density snow from the weekend.  North slopes were loading at a rapid pace and on the south side of the ridge it has been scrubbed down to almost the brush and rocks depending on the exposure to the wind.  Stiff wind slabs were all along the ridge so I expected to see something, I was just surprised it was not bigger.  It appeared  that a natural cornice drop had triggered a small wind slab just off the ridge. It kind of just gouged a trench down into the trees below and stopped. Sorry no pictures, to dang cold to get any."
12/17/2012,Uintas,Uintas,Natural,Facets,30.0,1500.0,2400.0,Northeast,9500.0,"40.840762000000, -111.048431000000","Great obs from Johnny A. Slide occurred midday as winds began to nuke. Light was super flat... I outlined the slide crown and flanks.
"
12/18/2012,Salt Lake,Lacawaxan,Snowboarder,New Snow/Old Snow Interface,36.0,960.0,1800.0,Northeast,10200.0,"40.596326000000, -111.559682000000","Soft Slab/Wind Slab avalanche was trigger by a snowboarder. This slide occurred just to the South of the saddle that leads up to 10420. This is named ""Hidden Canyon Saddle"" on the Achilles Map. This is near the area where the usual boothike out of Lacaxen is placed. This slide was 80 feet wide and ran 150 feet. The aspect was NE, the slope angle was at least 40 degrees, and the elevation: 10150. The terrain was a sub ridge that separates the basin where the boothike is to the next drainage to the South. It appeared that the rider hit a thin part of the slab on the top of the ridge. The rider appeared to punch it and run past the slide and escape. The crown was 3 feet. and the weak layer appeared to be a thin 2 mm layer of facets that formed directly on top of the old snow surface interface from the beginning of this last big event that began technically on Friday/Saturday. There was at least 18 inches of fist and then 18 inches of 4 finger. The prestorm surface (bed surface) appeared to be wind board, and had a slight m/f frozen snow cone like crust texture that I am assuming came about from the mild ambient prefrontal temperatures. 
"
12/18/2012,Uintas,Currant Creek Peak,Natural,Facets,60.0,12000.0,6000.0,Northeast,10400.0,"40.379309000000, -111.174345000000","Very large slide breaking to the ground
"
12/18/2012,Uintas,Four Eagle Bowl,Unknown,Ground Interface,60.0,4800.0,5226.709785869094,Northeast,25924.37426672369,"40.832473000000, -111.065083000000","Snowcat remotely triggered slide breaking to the ground
"
12/19/2012,Salt Lake,Dutch Draw,Snowboarder,New Snow/Old Snow Interface,30.0,3600.0,8400.0,East,9800.0,"40.654564000000, -111.593585000000","I was skiers right of High Dutch in a safe zone in the flats at the bottom with 2 other people, Scott and Chase, which I regularly ski with.  3 snowboarders were on the skier's left side of High Dutch.  2 at the bottom and one at the top.  Scott watched the boarder drop in from the top.  He said the boarder made 4 or 5 hard turns before the slab remotely failed.  The slab ran fairly slow.  Scott and Chase yelled at the 2 boarders at the bottom to get out of the way.  With eyes on the potential victims I snapped pictures in the general direction.  From my vantage point the snow and cloud engulfed the 2 boarders.  The boarders said they were not knocked over.  As soon as the cloud disappeared we had eyes on the boarders.  The snow had traveled past both of them.  Scott was positive no one else was on the slope as he saw the trigger, collapse and shear and quickly scanned the slope for other skiers.  I was able to scan but it was a full second after failure.  Upon analysis of the pictures there was no evidence of any victims.
Chase's analysis of the slide was that ESE winds from the day before loaded the slope using the island of trees as a snow fence.  The thick part of the slab was clearly skiers right while the thin part was skiers left near where the boarder was riding.  There were tracks going into the thick part of the slab as well as at least 2 sets going into the thin part of the slab.  The slope had been skied by at least 3 people.  Also to note there was a pocket within the slope that had already pulled out.  This pocket was within the new snow only.  With out access to the site after the slide I cannot say if the slope failed on the rain crust about 80cm down or if the slope failed near the ground.  The pictures I took clearly show rocks poking through the snow pack suggesting possibly that the slope failed below the rain crust sandwiches but that may just be a local phenomenom.
"
12/17/2012,Salt Lake,Bullen Basin,Natural,Facets,36.0,960.0,6000.0,Northeast,9600.0,"41.931369000000, -111.670232000000","We could see the evidence of this avalanche in Bullen Basin from White Pine Knob, a good  distance away....  This was a larger avalanche that occurred during the intense snowstorm on Monday, 12-17-2012.   
"
12/20/2012,Provo,Elk Point,Natural,Facets,30.0,1200.0,36000.0,East,9800.0,"40.388980000000, -111.621244000000","I did a double take this morning when I noticed this new avalanche low in the Gunsight path between Elk Point and Cascade Cirque.  There was a previous slide that happened higher up in the path during the peak of instability around 12/17 that I reported in an observation yesterday.  After looking back at my photos, this one is definitely new.  The only real change in the weather was a bump in wind speeds along the highest ridges beginning around 4am on 12/20. 
"
12/20/2012,Skyline,Big Drift/Skyline Summit,Snowboarder,Facets,48.0,3000.0,3600.0,Northeast,9400.0,"39.619045000000, -111.325922000000","The Skyline has a pockety avalanche problem, where avalanches can break into the buried weak layer of faceted snow near the ground. These types of avalanches will be unmanageable and could be triggered from a distance. Best to avoid steepE, N, NE, NW facing slopes steeper than 30 degrees in steepness. Slopes that face the southern half of the compass are generally a safer bet.
Great riding conditions with a supportable base, but don't let that trick you into thinking slopes are stable. The main problem is the extremely weak snow that is now buried 2-4 feet deep in places. Its a house of cards out there right now, its just waiting to come crashing down. The avalanches will be large enough to bury or seriously injury you.
Boondocking in the rock free meadows is the safest bet for now. We avoided all avalanche terrain today, and will do the same for tomorrow's outing. This is a patience game, and right now we need to have some patience and leave the hills alone.  
"
12/20/2012,Uintas,Whitney Basin,Snowmobiler,Facets,48.0,1800.0,3600.0,Northeast,10000.0,"40.872767000000, -110.973930000000","This slide on Yamaha Hill may have occured yesterday, but not sure on the trigger? There are some sled tracks nearby which could have made this a remote trigger?    "
