Vertical_inches,Depth_inches,Width_inches,Comments 1,Coordinates,Elevation_feet,Aspect,Weak Layer,Trigger,Place,Region,Date,OG
3000.0,12.0,1200,"I spotted this avalanche from a distance while on the north end of the West Willow Ridge. All sizes are a rough estimate, and I can't be certain if this wind slab failed on the most recent storm snow, or the facets that that storm snow buried. Judging by my estimated depth I'd think it was the storm snow. I called this a hard slab based on me poking around some wind loaded areas today that had roughly a 1F hard slab overlaying the recent storm snow from 11/28-11/29.
","40.649680496026, -111.617188440870",9000.0,Northeast,New Snow,Natural,Cone,Salt Lake,2022-12-01,True
4800.0,36.0,3000,"It appears that we remotely triggered this avalanche on our first ascent heading up the West Willow Ridgeline. We heard many collapses during the day, and specifically we heard one when we were traveling well away from the ridgeline where we apparently remotely triggered it. And we were approximately 125 feet away from the ridgeline. Upon our second ascent on this skin track we observed an avalanche had occurred in the site noted. Crown was easily 1 meter deep on the left flank. Obviuosly it was a Wind Loaded Hard Slab that broke down into the old snow/new snow interface from the previous snow event earlier in the week. Avalanche ran to the valley floor and up the other side at least 70 feet. HS-ASr-D2. Of note, besides getting widespread collapsing and cracking throughout the day, Cornices were extremely sensitive, reactive and easily triggered without getting near their edges. Collapsing in the NE West Willow Bowl area on the ridgeline dislodged multiple cornices without effort and or intent. No traffic was in any runout zones. 
","40.646092796079, -111.597976250820",9400.0,Northeast,Facets,Skier,West Willow,Salt Lake,2022-12-02,True
1200.0,15.0,1800,"Triggered avalanche remotely from ridge line.  Several hundred yards earlier we collapsed a similar slope and saw cracking (crown, flanks and would-be stauchwall) of a piece of snow that didn't quite slide.

 

Noticed another soft slab avalanche on Lackawaxen (east facing off Clayton peak).

 

also collapsing in lower elevation (8,800') north, and even in upper elevation south.

 

facets on all aspects, under friable crust on southwest.
","40.603559381969, -111.567943083360",9600.0,North,Facets,Skier,10420,Salt Lake,2022-12-02,True
1200.0,15.0,1800,"Triggered avalanche remotely from ridgeline.  Several hundred yards earlier we collapsed a similar slope and saw cracking (crown, flanks and would-be stauchwall) of a piece of snow that didn't quite slide.

 

Noticed another soft slab avalanche on Lackawaxen (east facing off Clayton peak) that also looked to have run today on PWL.  

 

also collapsing in lower elevation (8,800') north, and even in upper elevation southwest. Photo of snow structure 9800' SW  below



 

 
","40.603559381969, -111.567943083360",9600.0,North,Facets,Skier,Lanes Leap,Salt Lake,2022-12-02,True
720.0,20.0,1200,"While traveling up Beartrap Fork, we noted this D1.5 avalanche on the skiers left side of the approach gully. We are unsure when this avalanche exactly occurred during the storm. The debris went into the typical skin track with up to 4-5' of snow in certain places, and while small, this slide could have buried a human considering it went into a gully. We assume (based on pit results noted below) that this released sometime during the 12/1-12/2 storm, on the the persistent NSF layer. Collapsing and cracking was noted on low/mid elevations on all aspects. 
","40.639935393249, -111.616008268910",8000.0,West,Facets,Natural,Bear Trap,Salt Lake,2022-12-01,True
8400.0,18.0,4800,"This natural avalanche was most likely the result of the recent storm and strong wind overloading a buried Persistent Weak Layer which formed in mid November.  We had a clear view of this avalanche from a distance using a scope.  This is the first significant avalanche that has released on this particular weak layer.
","39.535076291135, -111.280839430450",10300.0,Northeast,Facets,Natural,Staker,Skyline,2022-12-02,True
240.0,14.0,360,"Saw this avalanche that looked to have been remotely triggered by the party in front of us as they walked by on the normal skin track leading into the bottom of Silver Fork canyon. Fits the pattern of most of this cycle of mid elevation slopes facing N thur E that had the weakest old surface snow. Slab was 4F to F hard and failed on SH and NSF that formed during the Nov dry spell. 
","40.622038573799, -111.615879522890",8200.0,Northeast,Facets,Skier,Silver Fork,Salt Lake,2022-12-02,True
8400.0,30.0,7200,"Size is estimated and based on a screen-shot from a short video posted on Instagram.  suggested that the noise from sleds triggered the avalanche.... more likely remotely triggered
","41.711250264560, -111.716279970710",9500.0,East,Facets,Snowmobiler,Fairgrounds,Logan,2022-12-02,True
600.0,12.0,1800,"Three separate pockets of soft slab released, all told around 150' wide.  ~1' crown included two obvious storm layers
","41.888232526881, -111.602382647120",6500.0,East,Surface Hoar,Unknown,Tony Grove Road,Logan,2022-12-02,True
7200.0,36.0,3000,"We could see this recent large natural avalanche from a distance.  Most likely cornice-fall triggered.  Ongoing drifting and continued loading noted.
","41.891504744912, -111.661949144900",9400.0,East,Facets,Natural,Cornice Ridge,Logan,2022-12-03,True
3000.0,14.0,540,"
No tracks entering the slope.  Potentially a remote trigger yesterday (Dec 1st) by one of the many passing riders on their way to the summit.  Although this avalanche location is the obvious and frequent starting zone for the area, it is important to note that the snowpack is still very shallow in these lower elevation areas, with plenty of nasty logs and rocks to get hung up on.

 

Below the ridge line and within wind-sheltered trees, the new snow is not propagating much farther than the length of the ski.  On the slopes we skied today it was possible to produce ski-width slabs on small test slopes but nothing more.

","40.728962912393, -111.614656435570",8400.0,North,Facets,Unknown,Summit Park,Salt Lake,2022-12-02,True
8400.0,18.0,1500,"It's hard to say exactly when this slide happened. I had eyes on this slope on Tuesday 11-29 and it had not avalanched. Moderate to Strong Southerly winds have been loading this slope since 7 inches of snow fell Monday night into Tuesday morning. The bed surface was starting to fill in with wind drifted snow. The debris was hard, but not frozen solid. We probed an average of 120cm in the deepest part of the debris pile. 

 

Ultimately this slope got enough of a load from wind drifted snow to overburden the weak layer of buried facets.
","38.444413270243, -109.242811190540",11500.0,Northwest,Facets,Natural,La Sal Mountains,Moab,2022-12-02,True
9600.0,36.0,3000,"Our party triggered this HS-ASr-R4, D2-O at the top of Soldier Fork just northeast of Soldier Peak while ascending along the ridgeline approx 6' away from the slope. It picked up speed quickly and propagated 250' taking out the whole slope to the old faceted snow surface from the Nov dry spell. Loud powerful collapse at the ridge and then it traveled fast into dense aspens then conifers and then out of sight. We estimate it ran all the way to the bottom of the slope 800' below. Not a survivable ride if caught in this one. First three pics courtesy of Mark White.
","40.674298811742, -111.656563269220",9100.0,Northeast,Facets,Skier,Soldier Fork,Salt Lake,2022-12-03,True
