,Date,Region,Place,Trigger,Trigger: additional info,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed,Accident and Rescue Summary,Terrain Summary,Weather Conditions and History,Depth_Inches,Width_Inches,Vertical_Inches,Elevation_Feet,Avlanche Season Phase
0,2014-02-10,Uintas,Uintas Lake Creek Avalanche Cycle,Natural,,Depth Hoar,4',300',350',Northeast,"10,000'","40.421521000000, -111.130486000000",,,,,,,,,,48.0,3600.0,4200.0,10000.0,Start
1,2023-01-27,Provo,Bunnels,Skier,,,2',150',,East,"9,400'","40.313087385727, -111.580398546940",,1.0,,,,,,,,24.0,1800.0,,9400.0,Start
2,2016-01-24,Salt Lake,Lambs Canyon,,,,,,,,"7,500'",,,,,,,,,,,,,,7500.0,Start
3,2014-05-19,Salt Lake,Big Willow,Natural,,Ground Interface,6',300',"1,000'",Northeast,"10,300'",,,,,,,,,,,72.0,3600.0,12000.0,10300.0,Middle
4,2010-12-19,Logan,Beaver Canyon,Unknown,,New Snow/Old Snow Interface,"12""",30',50',West,"7,100'","41.955597000000, -111.543288000000",,,,,,,,,,12.0,360.0,600.0,7100.0,End
5,2023-03-04,Ogden,Cutler Ridge,Skier,Unintentionally Triggered,Density Change,"10""",70',100',Northeast,"8,000'",,,,,,,,,,,10.0,840.0,1200.0,8000.0,Start
6,2022-12-22,Skyline,BBQ Bowl,Natural,,Facets,2.5',200',500',East,"10,100'","39.510811352176, -111.320235716460",,,,,,,,,,30.0,2400.0,6000.0,10100.0,End
7,2018-02-15,Moab,Moab,Natural,,,,,,North,,"38.404057329995, -109.258604036900",,,,,,,,,,,,,,Start
8,2017-03-07,Salt Lake,Superior,,,,,50',"1,500'",South,"11,000'",,,,,,,,,,,,600.0,18000.0,11000.0,Start
9,2022-11-29,Skyline,Skyline,,,,,,,,,,,,,,,,,,,,,,,End
10,2012-02-28,Salt Lake,Alexander Basin,Skier,Cornice Triggered,New Snow/Old Snow Interface,"8""",200',600',East,"9,500'","0.000000000000, 0.000000000000",,,,,,,,,,8.0,2400.0,7200.0,9500.0,Start
11,2015-12-26,Moab,Gold Basin,Natural,,Facets,3',150',900',North,"11,200'","38.452353183754, -109.265174890420",,,,,,,,,,36.0,1800.0,10800.0,11200.0,End
12,2017-01-25,Salt Lake,Mt Aire,Skier,Unintentionally Triggered,Surface Hoar,"20""",200',200',Northwest,"7,900'","40.722220850222, -111.677205549830",1.0,1.0,,,,,"3 Skiers approached Mt Aire from Lambs Canyon, Wednesday morning January 25. They ascended a North-South running ridge on Mt Aire and experienced at least one collapse in low angle terrain during the approach. They skied an East aspect off the ridge and did not report any collapsing or cracking. They switched to the West side of the ridge on a slope with a NW aspect. Skier 1 descended and continued to the trailhead. Skier 2 triggered the slide, but skier 1 did not know this. Skier 2 was caught and carried approximately 75 feet downhill to some trees but was not buried and not injured. Skier 3 descended to perform a rescue.

Skier 2 was ok. Because they did not see skier 1, they assumed he was buried. They performed a beacon search but did not receive a signal. They reported that Skier 1 had been having some sort of trouble with his beacon this year; therefore, they assumed he was buried but his beacon was not working. At that point, they called 911 to get help. With no beacon signal, Skier's 2 & 3 and began probing areas with a high probability of burial (like the uphill side of trees). They scoured every inch of debris continuing to probe all likely areas. As they worked closer to the toe of the debris, they spotted skier 1's ski tracks which were not obvious. They followed his tracks to the trail head and discovered he was ok. While skiing back to the trail head, another avalanche was triggered on buried surface hoar.

We at the UAC are all very happy no one was injured or killed. We are also very appreciative that members of the party were very open and willing to talk about this incident so that the rest of us can learn and be safer. Avalanches are stressful and confusing events. What is important in this scenario is that they exposed only one person at a time to the avalanche terrain. Despite the confusion, only one person was caught. Skier 2 was lucky to have avoided trauma. Even small avalanches moving slowly can cause serious trauma. Running into a tree a 20 mph (which is slow for an avalanche) can hurt.","Not an obvious place for an avalanche other than slope steepness. It was 36 degrees at the steepest and transitioned to 34 degrees and even lower on the far side of the crown. While this is definitely avalanche terrain, from a skier's perspective it is not very steep and seemingly benign.","A ridge of high pressure with clear skies and cold nights last week created small facets and surface hoar on the snow surface. Surface hoar just like frost on a car windshield except it is very fragile and can easily be destroyed by wind or sunshine. Winds began to increase on Wednesday night (1/18) and into Thursday morning (1/19), before diminishing midday on Thursday. At the Reynolds Peak wind station at 9400 ft, winds blew generally from the S and SSW 10-15 mph with only slightly stronger gusts. A the Parleys Summit weather station at 7000 ft, the strongest winds blew 10 mph gusting to 15 mph from a generally westerly direction. In contrast, winds at 11,000 ft in Little Cottonwood Canyon briefly blew 30 mph gusting to 50 mph from the S.

A weak storm system deposited 3-5"" in the Salt Lake mountains on Thursday. This snow capped and preserved this surface hoar layer on sheltered slopes where it wasn't destroyed by the wind. Snowfall since Thursday contained 1.8 inches of water at the Parleys Summit SNOTEL site at 7500 ft just north of Summit Park and I-80. Snowfall since Thursday contained 2.08 inches of water at the Spruces weather station at 7400 ft in Big Cottonwood Canyon. On the day of the accident, we found 18-26 inches of snow on top of the surface hoar layer which corresponds well to these water numbers.",20.0,2400.0,2400.0,7900.0,Start
13,2022-02-26,Uintas,Hoyt Peak,Unknown,,Facets,"10""",100',,Northeast,"10,000'","40.692109167931, -111.197851883540",,,,,,,,,,10.0,1200.0,,10000.0,Start
14,2020-12-23,Salt Lake,West Willow,Natural,,,,,,Northeast,"9,500'","40.646522085662, -111.598627554480",,,,,,,,,,,,,9500.0,End
15,2022-12-15,Salt Lake,Snake Creek,Natural,,,,,,East,"9,200'","40.583094343032, -111.534404741850",,,,,,,,,,,,,9200.0,End
16,2016-01-10,Salt Lake,Two Dogs,Skier,,Facets,"13""",,,Northeast,"10,200'","40.600125647922, -111.643015075800",,,,,,,,,,13.0,,,10200.0,Start
17,2009-12-20,Salt Lake,Days Headwall,Skier,Intentionally Triggered,Facets,2.5',50',150',North,"10,100'","40.599845000000, -111.643667000000",,,,,,,,,,30.0,600.0,1800.0,10100.0,End
18,2019-12-06,Salt Lake,Sunset Peak,Unknown,,Facets,,,,North,"10,200'",,,,,,,,,,,,,,10200.0,End
19,2014-01-14,Ogden,Farmington Canyon,Snowmobiler,Unintentionally Triggered,Facets,4',100',300',East,"10,000'","40.964863000000, -111.803741000000",1.0,,,,,,,,,48.0,1200.0,3600.0,10000.0,Start
20,2014-12-21,Salt Lake,White Pine,Skier,Remotely Triggered,,"12""",50',60',,"9,200'",,,,,,,,,,,12.0,600.0,720.0,9200.0,End
21,2011-04-26,Salt Lake,Scotties Bowl,Skier,,New Snow,"6""",30',200',North,"9,700'","40.563621000000, -111.677141000000",1.0,,,,,,,,,6.0,360.0,2400.0,9700.0,Middle
22,2021-03-26,Logan,Central Bear River Range,Snowboarder,Intentionally Triggered,New Snow/Old Snow Interface,"16""",50',300',North,"8,800'",,,,,,,,,,,16.0,600.0,3600.0,8800.0,Start
23,2022-11-09,Salt Lake,Park City,Skier,,New Snow/Old Snow Interface,2',40',150',Northeast,"9,600'","40.612455890896, -111.532645481220",,1.0,,,,,,,,24.0,480.0,1800.0,9600.0,End
24,2021-01-30,Salt Lake,White Pine,,,Facets,,,,,"10,000'","40.541036639012, -111.668901430670",,,,,,,,,,,,,10000.0,Start
25,2023-03-17,Uintas,Uintas,Natural,,Facets,2.5',100',200',Northeast,"9,200'","40.313354595547, -111.085338579820",,,,,,,,,,30.0,1200.0,2400.0,9200.0,Start
26,2022-12-13,Logan,Beaver Mountain Backcountry,Snowboarder,Remotely Triggered,Depth Hoar,2',60',100',East,"7,100'","41.953201208357, -111.544876085840",,,,,,,,,,24.0,720.0,1200.0,7100.0,End
27,2016-03-28,Salt Lake,Main Days,Skier,Intentionally Triggered,New Snow,"7""",300',600',North,"10,300'","40.604885886813, -111.643112694080",,,,,,,,,,7.0,3600.0,7200.0,10300.0,Start
28,2021-02-12,Salt Lake,East Hellgate,Explosive,Intentionally Triggered,New Snow,,,,Southeast,"9,800'","40.592447773354, -111.650233255940",,,,,,,,,,,,,9800.0,Start
29,2012-02-24,Ogden,Whiskey Hill,Snowmobiler,Unintentionally Triggered,Facets,3',300',350',Northeast,"9,000'","41.516354000000, -111.473808000000",1.0,1.0,,1.0,1.0,,"The group did not have avalanche rescue gear, but luckily they kept a close eye on their partner and when the dust settled they went to the last seen point where they saw a helmet visor sticking out of the snow. The group frantically dug with their hands and uncovered their friend who sustained serious leg injuries.",,,36.0,3600.0,4200.0,9000.0,Start
30,2013-12-20,Uintas,Lake Creek,Snowmobiler,Unintentionally Triggered,Facets,5',200',125',North,"9,700'","40.411600000000, -111.206700000000",1.0,1.0,1.0,,,,,,,60.0,2400.0,1500.0,9700.0,End
31,2010-01-24,Logan,pull-out east side,Unknown,,Facets,2',150',70',West,"6,800'","41.949437000000, -111.544747000000",,,,,,,,,,24.0,1800.0,840.0,6800.0,Start
32,2015-11-20,Logan,White Pine Knob,Natural,,Facets,"12""",50',200',North,"8,800'",,,,,,,,,,,12.0,600.0,2400.0,8800.0,End
33,2010-12-31,Logan,"Mt.Magog, East Bench",Snowboarder,Unintentionally Triggered,Density Change,"8""",40',70',East,"8,200'","41.912785000000, -111.648130000000",,,,,,,,,,8.0,480.0,840.0,8200.0,End
34,2021-02-17,Skyline,Fly Canyon,Natural,,Facets,2.5',200',300',East,"9,700'","39.424696289151, -111.284126746080",,,,,,,,,,30.0,2400.0,3600.0,9700.0,Start
35,2010-03-11,Salt Lake,Hogum,Unknown,Unintentionally Triggered,,,,,Southeast,"9,600'","0.000000000000, 0.000000000000",,,,,,,,,,,,,9600.0,Start
36,2013-03-16,Salt Lake,Salt Lake,Natural,,Wet grains,3',,,North,"9,000'",,,,,,,,,,,36.0,,,9000.0,Start
37,2016-04-01,Salt Lake,Monte Cristo,Unknown,,New Snow,,,,South,"10,000'","40.588399656046, -111.669631063420",2.0,1.0,,,,,"2nd hand information: Two snowboarders descended Monte Cristo direct at 1030am. At the choke, the first successfully rappelled down and waited for the second to join him below. At that point, a wet loose slide cascaded down upon them from above, pummeling the second who was on rappel while catching and carrying the first over two minor cliffbands. It is not known whether the person on rappel was clipped into the anchor or backed up with an autoblock above or below his rappel device. It is also not known whether the loose sluff was a natural or triggered from above. 

After the avalanche, both were able to make it down to the road unassisted. 

Photos courtesy Stacee at Powderbird",Monte Cristo is a very steep south facing avalanche path just west of Superior on the Cottonwood ridgeline. Its descent is 3100' down to the Little Cottonwood road. ,,,,,10000.0,Middle
38,2016-04-25,Salt Lake,Emma Ridges,Snowboarder,Intentionally Triggered,New Snow/Old Snow Interface,"8""",20',100',North,"10,000'",,,,,,,,,,,8.0,240.0,1200.0,10000.0,Middle
39,2021-03-11,Salt Lake,Brighton Perimeter,Skier,,,"8""",30',,North,"10,200'","40.581419875780, -111.583279954510",,,,,,,,,,8.0,360.0,,10200.0,Start
40,2019-01-18,Provo,Snake Creek,Natural,,,"20""",80',,Southeast,"9,200'","40.553004582289, -111.564853178580",,,,,,,,,,20.0,960.0,,9200.0,Start
41,2009-12-10,Moab,Middle Cirque,Natural,,Facets,,60',500',Northwest,"11,800'","38.441921000000, -109.250188000000",,,,,,,,,,,720.0,6000.0,11800.0,End
42,2023-01-28,Salt Lake,Little Water,Skier,,Density Change,"10""",200',,Northeast,"9,600'","40.671988616201, -111.627367591710",,,,,,,,,,10.0,2400.0,,9600.0,Start
43,2014-01-13,Logan,Tony Grove Lake,Natural,,Facets,3',300',175',East,"8,300'","41.896549000000, -111.646056000000",,,,,,,,,,36.0,3600.0,2100.0,8300.0,Start
44,2021-02-14,Salt Lake,Superior,Explosive,Intentionally Triggered,New Snow,,,,Southeast,"9,200'","40.588406730511, -111.658773409430",,,,,,,,,,,,,9200.0,Start
45,2020-03-02,Salt Lake,Days Fork,Skier,,,"3""",25',,Southeast,"9,900'","40.603482252672, -111.640555845810",,,,,,,,,,3.0,300.0,,9900.0,Start
46,2020-12-18,Logan,Tony Grove Lake,Unknown,,Facets,"18""",400',200',East,"8,700'",,,,,,,,,,,18.0,4800.0,2400.0,8700.0,End
47,2022-03-19,Logan,Franklin Basin,Snowboarder,Unintentionally Triggered,Facets,2',150',500',Northeast,"9,200'",,,,,,,,,,,24.0,1800.0,6000.0,9200.0,Start
48,2018-02-26,Salt Lake,East Mineral,Skier,,,"10""",30',50',West,"8,600'","40.612314887778, -111.677935110670",1.0,1.0,,,,,,,,10.0,360.0,600.0,8600.0,Start
49,2021-02-05,Logan,North Bowl of Mt. Elmer,Natural,,Facets,3',700',600',Northeast,"9,000'","41.856376045636, -111.684177829990",,,,,,,,,,36.0,8400.0,7200.0,9000.0,Start
50,2014-04-01,Provo,Primrose Cirque,Natural,,Density Change,"12""",,,East,,,,,,,,,,,,12.0,,,,Middle
51,2015-03-04,Salt Lake,Wilson Fork,Skier,Remotely Triggered,Facets,2',80',,Northeast,"9,300'",,,,,,,,,,,24.0,960.0,,9300.0,Start
52,2022-01-03,Provo,Wooley Hole,Skier,,,"12""",50',,North,"8,900'","40.424990584987, -111.659484194840",,,,,,,,,,12.0,600.0,,8900.0,Start
53,2015-02-22,Salt Lake,Little Superior,Skier,Unintentionally Triggered,,,150',"1,250'",South,"10,000'",,,1.0,,,,,"I was skiing alone, coming back into Little Cottonwood Canyon from Cardiac Bowl after a long and very enjoyable morning of skiing mostly north and some east facing classic Wasatch powder. I gained the ridgeline at the Little Superior Buttress, and decided to make my descent from just above it. As I removed my skins up on the ridge, I examined the slope below. The initial portion of the run dropped about 100 feet south east facing before opening up into a broader bowl above a rock band. My intention was to make my way skiers left over to the frequently skied fin that drops from just below the buttress.
 As I gained the more south facing open bowl above the rock band, I noticed a large number of roller balls and debris coming down from above. The next thing I knew, I was in the middle of a large wet slab avalanche. I suppose the release knocked me down, but at first it seemed like the slab was moving slowly. it started gaining speed as it carried me towards a funnel through the rock band. Unfortunately I was on my back with my legs and skis above me. I was unable to move to right myself and I realized I was going over the rock band, headfirst. The snow was so dense that I easily floated on top. It was like riding a 2 foot thick churning carpet of roller balls and slush. I believe it protected me from the rocks as I went backwards over the probably 20' rock band.
It certainly cushioned the blow as I came down on the slope below. Once over the rock band, the slide continued to gain speed. I had only one ski and one pole still with me, but I managed to get an edge into the sliding snow. I fought hard with the remaining pole and my free arm to get off of the slide to skier's left, just before it poured over the choke of a second and slightly taller rock band. For what seemed like a really long time, more than a minute for sure, the wet slide just kept pouring down from above and through the choke.
With the slide over, I waited for the adrenaline rush to subside somewhat and determined that I didn't have any serious injuries. I dialed 911 to alert Alta Central about the slide and that nobody had been buried in it. As I down climbed the rock band, kicking toeholds into the remaining snow, I punched through a few places to reveal a virtual waterfall- 3-4"" of running water below the snow surface.
Another 200 feet or so below, the slide had come to a stop in a broad tongue of debris 2-3 feet deep. My lost pole and ski were easily retrieved from their final resting places atop the debris pile. Making my way down to them, the bed surface was a moistened, but still bulletproof sun crust- completely scoured of the weekend's new snow. It wasn't until the low angle apron just above the road that I ever noted the snow surface to be getting damp and manky.

Forecaster Note: It's unknown if this was a wet loose sluff, or perhaps a slab. So we've classified it as a Storm Snow slide.",,,,1800.0,15000.0,10000.0,Start
54,2022-03-06,Salt Lake,Summit Park,Skier,,,"14""",60',,North,"7,700'","40.723498543140, -111.605358111420",,,,,,,,,,14.0,720.0,,7700.0,Start
55,2019-02-14,Provo,Bunnels,Natural,,,,,,,,,,,,,,,,,,,,,,Start
56,2019-02-14,Skyline,Rolfson,Natural,,,,,,Northeast,"10,200'","39.554076801413, -111.305108057620",,,,,,,,,,,,,10200.0,Start
57,2016-01-21,SE Idaho,Worm Creek,Natural,,,"2""","1,500'",200',Southeast,,"42.141258635999, -111.560883566740",,,,,,,,,,2.0,18000.0,2400.0,,Start
58,2017-03-17,Skyline,BBQ Bowl,Natural,,Ground Interface,,,,East,"10,000'","39.510780863718, -111.319141375170",,,,,,,,,,,,,10000.0,Start
59,2011-11-19,Logan,Castle Rock,Natural,,Facets,,,,North,"9,600'","41.902245000000, -111.670232000000",,,,,,,,,,,,,9600.0,End
60,2019-02-06,Provo,Primrose Cirque,Natural,,,,"1,000'",,East,"10,400'",,,,,,,,,,,,12000.0,,10400.0,Start
61,2022-12-11,Logan,Sunrise Hill,Snow Bike,Remotely Triggered,Facets,2',80',100',East,"7,800'","41.920653255983, -111.465568529700",,,,,,,,,,24.0,960.0,1200.0,7800.0,End
62,2017-01-21,Salt Lake,Figure 8 Hill,Natural,,New Snow/Old Snow Interface,"12""",70',,Northeast,"9,600'","40.592521351122, -111.605097042670",,,,,,,,,,12.0,840.0,,9600.0,Start
63,2010-01-01,Ogden,Snowbasin Backcountry,Skier,Intentionally Triggered,Facets,,30',600',North,"8,000'","0.000000000000, 0.000000000000",,,,,,,,,,,360.0,7200.0,8000.0,Start
64,2019-12-14,Uintas,Uintas,Natural,,Facets,2.5',800',600',North,"10,100'",,,,,,,,,,,30.0,9600.0,7200.0,10100.0,End
65,2021-03-14,Moab,Moab,Natural,,Facets,3',450',,North,"10,600'","38.412371059107, -109.258152694480",,,,,,,,,,36.0,5400.0,,10600.0,Start
66,2016-03-29,Moab,Moab,Natural,,New Snow,2.5',300',400',North,"11,000'","38.452245060650, -109.264140296010",,,,,,,,,,30.0,3600.0,4800.0,11000.0,Start
