OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,SHAPE_Length,SHAPE_Area
21440,2020,CA,CDF,NEU,NELSON,00013212,2020/06/18 00:00:00+00,2020/06/23 00:00:00+00,11,1,1,109.60228,,,,,,2020,4179.74314204583,733134.698478967
21441,2020,CA,CDF,NEU,AMORUSO,00011799,2020/06/01 00:00:00+00,2020/06/04 00:00:00+00,2,1,1,685.58502,,,,,,2020,12399.3753905116,4578171.89880051
21442,2020,CA,CDF,NEU,ATHENS,00018493,2020/08/10 00:00:00+00,2020/08/11 00:00:00+00,14,1,1,27.30048,,,,,,2020,2119.19412003875,182387.640411692
21443,2020,CA,CDF,NEU,FLEMING,00007619,2020/03/31 00:00:00+00,2020/04/01 00:00:00+00,9,1,1,12.931545,,,,,,2020,2029.52488137503,86679.423402436
21444,2020,CA,CDF,NEU,MELANESE,00008471,2020/04/14 00:00:00+00,2020/04/19 00:00:00+00,18,1,1,10.315964,,,,,,2020,1342.74290294001,70179.1223470977
21445,2020,CA,CDF,NEU,PFE,00014858,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,14,1,1,36.701931,,,,,,2020,3012.19835361044,244431.516854361
21446,2020,CA,DOD,BEA,VALLEY,00015865,2020/07/15 00:00:00+00,2020/07/16 00:00:00+00,14,1,1,376.9104,,,,,,2020,9803.35036420333,2538316.86324588
21447,2020,CA,CDF,NEU,WALDO,00015275,2020/07/09 00:00:00+00,2020/07/12 00:00:00+00,9,1,1,10.102212,,,,,,2020,1425.98634226764,68043.0413665789
21448,2020,CA,CDF,NEU,WILLOW,00006064,2020/03/10 00:00:00+00,2020/03/11 00:00:00+00,5,1,1,33.973888,,,,,,2020,2477.15181547552,230549.78505469
21449,2020,CA,CDF,NEU,WILLOWS,00021423,2020/09/09 00:00:00+00,2020/10/13 00:00:00+00,7,3,1,1309.09,,,,,,2020,15221.4105433282,8877495.80680043
21450,2020,CA,CDF,NEU,DYER,00015012,2020/07/06 00:00:00+00,2020/07/06 00:00:00+00,8,1,1,194.66029,,,,,,2020,7757.24683769613,1296860.60847649
21451,2020,CA,CDF,NEU,FARRIER,00016781,2020/07/24 00:00:00+00,2020/07/31 00:00:00+00,8,1,1,22.634298,,,,,,2020,1693.89812956216,150787.430569303
21452,2020,CA,CDF,NEU,FIELDS,00023897,2020/10/06 00:00:00+00,2020/10/09 00:00:00+00,5,1,1,55.328434,,,,,,2020,3143.53099864592,373125.246422866
21453,2020,CA,CDF,NEU,JONES,00019231,2020/08/17 00:00:00+00,2020/09/28 00:00:00+00,1,3,1,705.54602,aka INDIAN,,,,,2020,15226.0547698771,4770841.80373448
21454,2020,CA,DOD,BEA,PAVE PAWS,00017717,2020/08/02 00:00:00+00,2020/08/02 00:00:00+00,11,1,1,532.77332,Beale Air Force Base,,,,,2020,10122.6892482165,3589054.98466705
21455,2020,CA,CDF,NEU,RIOSA,00012970,2020/06/15 00:00:00+00,2020/06/15 00:00:00+00,11,1,1,13.694717,,,,,,2020,1743.67087360593,91856.8500681241
21456,2020,CA,CDF,BTU,NELSON,00006825,2020/06/17 00:00:00+00,2020/06/25 00:00:00+00,14,1,1,103.33157,,,,,,2020,5758.36450762757,703657.639355372
21458,2020,CA,CDF,BTU,5-4 POTTERS ,00009692,2020/08/17 00:00:00+00,2020/09/10 00:00:00+00,1,1,1,925.40186,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,16613.4839078943,6307904.03635036
21459,2020,CA,CDF,BTU,5-6 CASCADE CREEK,00009703,2020/08/17 00:00:00+00,2020/09/10 00:00:00+00,1,1,1,260.17557,,BUTTE LIGHTNING COMPLEX,00009692,,,2020,7022.5749273688,1780346.9101991
21460,2020,CA,CDF,BTU,TEDDY,00006891,2020/06/18 00:00:00+00,2020/06/23 00:00:00+00,14,1,1,13.279565,,,,,,2020,1648.63306678697,90049.4962999821
21461,2020,CA,CDF,CZU,COAST,00003906,2020/06/29 00:00:00+00,2020/06/29 00:00:00+00,7,7,1,20.2083,,,,,,2020,1702.00092173474,128343.170570779
21462,2020,CA,CDF,CZU,CZU LIGHTNING COMPLEX,00005205,2020/08/16 00:00:00+00,2020/09/24 00:00:00+00,1,7,1,86553.461,,CZU LIGHTNING COMPLEX,00005205,,,2020,255052.193259759,552318495.777981
21463,2020,CA,CDF,MEU,OAK,00010700,2020/09/07 00:00:00+00,2020/09/28 00:00:00+00,9,7,1,1146.4658,,,,,,2020,18184.117576066,7799786.21433626
21464,2020,CA,CDF,MEU,CREEK,00009786,2020/08/18 00:00:00+00,2020/08/26 00:00:00+00,10,7,1,834.2442,,,,,,2020,12821.8131524731,5727850.42383985
21465,2020,CA,CDF,MEU,3-19,00009781,2020/08/18 00:00:00+00,2020/10/21 00:00:00+00,1,4,1,65.008545,,,,,,2020,2611.28660931467,439629.10712654
21466,2020,CA,CDF,MEU,VINEYARD,00006489,2020/06/09 00:00:00+00,2020/06/18 00:00:00+00,2,1,1,150.49449,,,,,,2020,5675.64591642416,1007057.35493244
21467,2020,CA,CDF,MEU,MINA,00009342,2020/08/10 00:00:00+00,2020/08/15 00:00:00+00,4,2,1,158.86919,,,,,,2020,5106.02978622489,1091466.03412283
21468,2020,CA,CDF,HUU,BEAR,00001401,2020/02/15 00:00:00+00,2020/02/15 00:00:00+00,5,1,1,10.473744,,,,,,2020,1526.38940102701,73476.6102988437
21469,2020,CA,CDF,HUU,REDWOOD,00009006,2020/10/23 00:00:00+00,2020/10/23 00:00:00+00,2,1,1,101.40028,,,,,,2020,3753.85290462705,711099.623747681
21470,2020,CA,CDF,TGU,GRIZZLY,00002412,2020/03/02 00:00:00+00,2020/03/06 00:00:00+00,14,1,1,155.27298,,,,,,2020,6540.5836411781,1064278.57662365
21471,2020,CA,CDF,TGU,BEEGUM,00002023,2020/02/22 00:00:00+00,2020/02/23 00:00:00+00,18,2,1,181.44044,,,,,,2020,10696.8165089719,1264981.53670788
21472,2020,CA,CDF,TGU,4-8,00008808,2020/08/17 00:00:00+00,2020/08/18 00:00:00+00,1,1,1,278.00998,,,,,,2020,8954.96718822614,1891689.6388266
21473,2020,CA,CDF,TGU,ELK,00008702,2020/08/16 00:00:00+00,2020/08/17 00:00:00+00,1,1,1,730.48138,,,,,,2020,12016.1387165403,4982413.33726355
21474,2020,CA,CDF,TGU,RED,00004162,2020/04/23 00:00:00+00,2020/04/24 00:00:00+00,5,1,1,26.40666,,,,,,2020,2684.26888740404,182659.873484377
21475,2020,CA,CDF,HUU,MINE,00011303,2020/12/24 00:00:00+00,2020/12/24 00:00:00+00,5,1,1,11.07413,,,,,,2020,1825.22881031916,77436.8929710107
21476,2020,CA,CDF,BTU,AVOCADO,00007464,2020/06/30 00:00:00+00,2020/07/11 00:00:00+00,14,1,1,137.58138,,,,,,2020,4076.50403371119,933389.974999556
21477,2020,CA,CDF,BTU,HONCUT,00006966,2020/06/20 00:00:00+00,2020/06/22 00:00:00+00,14,1,1,88.185837,,,,,,2020,4162.19845370167,597747.50290022
21478,2020,CA,CDF,BTU,GRAND,00012308,2020/10/15 00:00:00+00,2020/10/20 00:00:00+00,14,1,1,31.061085, ,,,,,2020,3068.50147021768,211492.505800139
21479,2020,CA,CCO,ORC,PARK FIRE,20075598,2020/07/05 00:00:00+00,2020/07/07 00:00:00+00,14,1,1,24.097841, ,,,,,2020,2020.07946635197,141579.507299961
21480,2020,CA,CDF,ORC,SILVERADO,20121364,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14,7,1,12469.206, ,,,,,2020,65362.5935745091,73125983.4583518
21481,2020,CA,CDF,ORC,BLUE RIDGE,20121612,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14,7,1,13694.532, ,,,,,2020,65838.8753839645,80671871.2688464
21482,2020,CA,CDF,ORC,BOND,20136890,2020/12/03 00:00:00+00,2020/12/07 00:00:00+00,14,7,1,6681.0986, ,,,,,2020,52771.3654774732,39200475.3997512
21483,2020,CA,CDF,BTU,CLARK,00009565,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,14,1,1,106.78496,,,,,,2020,5533.23641586558,729464.867140558
21484,2020,CA,CDF,NEU,DULUTH,00018540,2020/08/10 00:00:00+00,2020/08/12 00:00:00+00,10,1,1,71.949944,,,,,,2020,5784.25707851993,480239.207559387
21485,2020,CA,CDF,NEU,KARCHNER,00002117,2020/06/05 00:00:00+00,2020/06/06 00:00:00+00,2,1,1,30.024942,,,,,,2020,1974.73053588705,201532.587841124
21486,2020,CA,LRA,NEU,SIMPSON,00024660,2020/10/15 00:00:00+00,2020/10/17 00:00:00+00,14,6,1,28.574575,Yuba City Fire,,,,,2020,1971.42970744968,192491.070132217
21487,2020,CA,CDF,NEU,WATT,00012647,2020/06/11 00:00:00+00,2020/06/13 00:00:00+00,14,1,1,39.866062,,,,,,2020,3532.94795756148,265518.179158945
21488,2020,CA,CDF,NEU,LOCUST,00031508,2020/12/31 00:00:00+00,2020/12/31 00:00:00+00,5,1,1,15.859506,,,,,,2020,1604.873417568,105708.160454604
21489,2020,CA,CDF,BTU,GARDEN,00005015,2020/05/06 00:00:00+00,2020/05/09 00:00:00+00,2,1,1,49.008781,,,,,,2020,3611.37866323512,334118.932599892
21490,2020,CA,CDF,BTU,FEATHER,00008456,2020/07/20 00:00:00+00,2020/07/22 00:00:00+00,14,1,1,14.740744,,,,,,2020,1522.43747145293,100343.899392198
21491,2020,CA,CDF,SKU,BADGER,00005356,2020/07/18 00:00:00+00,2020/07/19 00:00:00+00,10,1,1,557.30609, ,,,,,2020,13506.566654708,4060376.10661749
21492,2020,CA,CDF,SKU,MINER,00005595,2020/07/25 00:00:00+00,2020/07/25 00:00:00+00,14,1,1,23.13611,,,,,,2020,2899.10965468715,166418.527681741
21493,2020,CA,CDF,SKU,JENNY 2-3,00005678,2020/07/27 00:00:00+00,2020/07/27 00:00:00+00,1,1,1,14.637078,From ODF aka Jenny Creek Fed Inc# ORMED-000227,,,,,2020,1594.5625382492,107366.679150378
21494,2020,CA,CDF,SKU,SCHOOLHOUSE,00007096,2020/09/09 00:00:00+00,2020/09/09 00:00:00+00,14,1,1,37.064037,,,,,,2020,2367.92669461882,269098.140510995
21495,2020,CA,CDF,SKU,TOWNSEND,00003484,2020/05/17 00:00:00+00,2020/05/17 00:00:00+00,5,1,1,13.730427,,,,,,2020,1808.09866737109,99819.9796679358
21496,2020,CA,CDF,SKU,SHACKLEFORD,00007137,2020/09/11 00:00:00+00,2020/09/11 00:00:00+00,14,1,1,37.650269,,,,,,2020,2903.04477879322,272468.94269527
21497,2020,CA,CDF,TCU,MOC,00009457,2020/08/20 00:00:00+00,2020/09/05 00:00:00+00,9,1,1,2857.6055,Cause= Weed Eating,,,,,2020,24671.3481628938,18547049.608402
21498,2020,CA,CDF,TCU,SALT,00009353,2020/08/18 00:00:00+00,2020/08/28 00:00:00+00,9,1,1,1593.7322,Cause = Grinding,,,,,2020,16443.5169626775,10403242.5917013
21499,2020,CA,CDF,TCU,WALKER,00006494,2020/06/16 00:00:00+00,2020/06/23 00:00:00+00,9,2,1,1398.0038,Cause = Grinding,,,,,2020,19226.9033482387,9143297.86874869
21500,2020,CA,CCO,KRN,BAKER,02024545,2020/06/17 00:00:00+00,2020/06/18 00:00:00+00,14,1,1,165.17973,,,,,,2020,7573.07340235203,1006161.87982641
21501,2020,CA,CCO,KRN,BENA,02027271,2020/07/01 00:00:00+00,2020/07/05 00:00:00+00,14,1,1,2884.4102,SRA,,,,,2020,21314.9720002712,17566953.1488372
21502,2020,CA,CCO,KRN,FLAT,02028833,2020/07/09 00:00:00+00,2020/07/12 00:00:00+00,14,1,1,40.127972,Crew 10,,,,,2020,3515.80880538401,244002.384764292
21503,2020,CA,CCO,KRN,COMANCHE,02031924,2020/07/26 00:00:00+00,2020/07/27 00:00:00+00,14,1,1,66.156052,,,,,,2020,4069.53776735665,401194.15465634
21504,2020,CA,CCO,KRN,SHEEP,02032616,2020/07/30 00:00:00+00,2020/07/30 00:00:00+00,14,1,1,233.05606,,,,,,2020,7205.22539177277,1413545.79072589
21505,2020,CA,CCO,KRN,RESERVE,02033499,2020/08/04 00:00:00+00,2020/08/05 00:00:00+00,14,1,1,11.500824,West wind. ,,,,,2020,1757.17078934541,70018.6370833226
21506,2020,CA,CCO,KRN,JOHNSON,02033650,2020/08/05 00:00:00+00,2020/08/06 00:00:00+00,14,1,1,38.07296,,,,,,2020,2953.05653052473,230876.136011448
