STATE,COUNTY,LATITUDE,LONGITUDE,FIRE_SIZE,CAUSE_CODE,CAUSE_DESCR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME
GA,Baldwin,33.05143393,-83.07347301,6.65,5.0,Debris Burning,2452456.5,1610,2452456.5,1610
WV,Monongalia,39.5665424,-80.05718092,5.0,5.0,Debris Burning,2449773.5,1550,2449773.5,1550
WV,Logan,37.9408792,-82.02297837,61.0,10.0,Fireworks,2449663.5,1410,2449663.5,1410
MS,Copiah,31.80924283,-90.71796805,2.0,2.0,Equipment Use,2450902.5,1556,2450902.5,1705
WA,37,47.03722222,-120.95055556,0.2,9.0,Miscellaneous,2452602.5,0800,2452604.5,1700
GA,Murray              ,34.7557,-84.719,3.38,5.0,Debris Burning,2450800.5,1730,2450800.5,2104
MS,Yazoo,32.82646407,-90.3019356,1.0,7.0,Arson,2449594.5,1200,2449594.5,1300
WV,Mingo,37.87019171,-82.23360569,5.0,5.0,Debris Burning,2451268.5,1545,2451269.5,1545
CO,Eagle,39.6233,-106.9725,0.1,1.0,Lightning,2452885.5,1714,2452885.5,2100
MS,Washington,33.31184061,-90.96226076,1.0,5.0,Debris Burning,2451064.5,1300,2451064.5,1600
MI,Grand Traverse,44.75052375,-85.36355064,148.0,5.0,Debris Burning,2449465.5,1545,2449468.5,1000
MS,Franklin,31.52965176,-90.69535807,30.0,5.0,Debris Burning,2450733.5,1211,2450733.5,1944
OR,Yamhill,45.2098,-123.5218,0.1,4.0,Campfire,2452468.5,1300,2452468.5,1530
MS,Carroll,33.65672861,-90.04270501,2.0,5.0,Debris Burning,2448695.5,1330,2448695.5,1458
WI,Taylor,45.04392053,-90.70658377,0.1,2.0,Equipment Use,2449113.5,1451,2449113.5,1516
GA,Muscogee            ,32.5274,-84.8873,0.32,3.0,Smoking,2449263.5,1910,2449263.5,2032
GA,Candler             ,32.458,-82.094,4.5,5.0,Debris Burning,2449788.5,1345,2449788.5,1450
GA,Walker,34.8073,-85.3648,0.1,7.0,Arson,2452218.5,1120,2452218.5,1120
GA,Worth               ,31.4815,-83.8552,12.18,7.0,Arson,2449361.5,1330,2449361.5,1505
GA,Berrien             ,31.1213,-83.2566,0.02,5.0,Debris Burning,2450427.5,1455,2450427.5,1520
MI,ANTRIM,45.05678,-85.23312,0.5,4.0,Campfire,2452375.5,1609,2452375.5,1609
GA,Miller,31.2075,-84.7352,0.1,9.0,Miscellaneous,2452191.5,1046,2452191.5,1046
GA,Laurens             ,32.5097,-83.0873,0.34,7.0,Arson,2449714.5,1318,2449714.5,1349
