STATE,COUNTY,LATITUDE,LONGITUDE,FIRE_SIZE,CAUSE_CODE,CAUSE_DESCR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME
NC,Columbus,34.14453333,-78.71656666,5.0,5.0,Debris Burning,2456811.5,2034,2456811.5,2200
NY,STEUBEN,42.00518229,-77.5412841,2.5,9.0,Miscellaneous,2454918.5,1126,2454918.5,1126
FL,Miami-Dade,25.5301,-80.3776,2.0,7.0,Arson,2455573.5,1630,2455573.5,1748
NC,Rutherford,35.55916666,-81.77985,0.3,1.0,Lightning,2455391.5,1700,2455394.5,1430
AL,Conecuh,31.502968,-86.96577,3.5,5.0,Debris Burning,2454629.5,1656,2454629.5,1740
ME,LINCOLN,44.252528,-69.566361,0.25,8.0,Children,2456032.5,1325,2456032.5,1355
CA,93,41.79972222,-122.65305556,0.1,1.0,Lightning,2455044.5,2230,2455044.5,2323
NY,CAYUGA,43.29389147,-76.66507876,0.9,9.0,Miscellaneous,2454940.5,1506,2454940.5,1506
WA,33,47.37833333,-121.39,0.1,4.0,Campfire,2453965.5,1310,2453965.5,1330
OR,Grant,44.68556,-119.04056,0.1,1.0,Lightning,2456871.5,1800,2456871.5,2040
ID,55,47.5975,-116.40583333,0.1,1.0,Lightning,2454699.5,1825,2454699.5,2013
NC,113,35.16194444,-83.28055556,75.0,5.0,Debris Burning,2454153.5,1740,2454154.5,1600
AL,Chambers,32.999049,-85.291269,2.0,7.0,Arson,2454053.5,1235,2454053.5,1338
OR,Jackson,42.61882,-122.83729,0.1,1.0,Lightning,2455045.5,1750,2455045.5,2320
WI,Richland,43.51934,-90.66344,1.4,2.0,Equipment Use,2456139.5,1705,2456139.5,1715
GA,Toombs              ,32.12996134,-82.39817278,4.46,5.0,Debris Burning,2455569.5,1523,2455569.5,1548
NC,Beaufort,35.461716,-76.900276,0.09,1.0,Lightning,2457213.5,2008,2457213.5,2030
CA,29,34.83166667,-119.16527778,0.1,8.0,Children,2453935.5,1600,2453935.5,1800
NY,Queens,40.7163,-73.8281,0.1,9.0,Miscellaneous,2457165.5,1613,2457165.5,1834
