,State,Total parks,Exclusive parks,Shared parks
0,California,9,8,1
1,Alaska,8,8,—
2,Utah,5,5,—
3,Colorado,4,4,—
4,Arizona,3,3,—
5,Florida,3,3,—
6,Washington,3,3,—
7,Hawaii,2,2,—
8,New Mexico,2,2,—
9,South Dakota,2,2,—
10,Texas,2,2,—
11,Montana,2,1,1
12,Nevada,2,1,1
13,Wyoming,2,1,1
14,American Samoa,1,1,—
15,Arkansas,1,1,—
16,Indiana,1,1,—
17,Kentucky,1,1,—
18,Maine,1,1,—
19,Michigan,1,1,—
20,Minnesota,1,1,—
21,Missouri,1,1,—
22,North Dakota,1,1,—
23,Ohio,1,1,—
24,Oregon,1,1,—
25,South Carolina,1,1,—
26,U.S. Virgin Islands,1,1,—
27,Virginia,1,1,—
28,West Virginia,1,1,—
29,Idaho,1,—,1
30,North Carolina,1,—,1
31,Tennessee,1,—,1
